index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS
1;4;5;6;2000;21;0.00075;0.00075;0.00075
2;4;8;6;2000;21;0.00075;0.00075;0.00075
3;4;16;6;1000;24;0.00075;0.00075;0.00075
4;5;8;6;2000;21;0.00075;0.00075;0.00075
5;5;16;6;2000;21;0.00075;0.00075;0.00075
6;8;16;6;2000;21;0.00075;0.00075;0.00075
7;1;4;6;2500;16;0.00075;0.00075;0.00075
8;1;16;6;2500;16;0.00075;0.00075;0.00075
9;1;8;4;1000;16;0.0005;0.0005;0.0005
10;2;16;3;500;22;0.000375;0.000375;0.000375
11;2;4;3;500;22;0.000375;0.000375;0.000375
12;2;8;4;1000;16;0.0005;0.0005;0.0005
13;3;8;6;2500;16;0.00075;0.00075;0.00075
14;3;5;3;500;22;0.000375;0.000375;0.000375
15;3;4;6;2500;16;0.00075;0.00075;0.00075
16;5;6;4;1000;16;0.0005;0.0005;0.0005
17;6;16;6;2500;16;0.00075;0.00075;0.00075
18;6;8;6;2500;16;0.00075;0.00075;0.00075
19;7;8;6;2500;16;0.00075;0.00075;0.00075
20;7;16;3;500;22;0.000375;0.000375;0.000375
21;4;7;4;1000;16;0.0005;0.0005;0.0005
22;5;9;4;1000;16;0.0005;0.0005;0.0005
23;4;9;3;500;22;0.000375;0.000375;0.000375
24;8;9;4;1000;16;0.0005;0.0005;0.0005
25;5;10;4;1000;16;0.0005;0.0005;0.0005
26;4;10;3;500;22;0.000375;0.000375;0.000375
27;10;16;3;500;22;0.000375;0.000375;0.000375
28;5;11;4;1000;16;0.0005;0.0005;0.0005
29;11;16;6;2500;16;0.00075;0.00075;0.00075
30;4;11;6;2500;16;0.00075;0.00075;0.00075
31;5;12;6;2500;16;0.00075;0.00075;0.00075
32;4;12;6;2500;16;0.00075;0.00075;0.00075
33;12;16;6;2500;16;0.00075;0.00075;0.00075
34;4;13;6;2500;16;0.00075;0.00075;0.00075
35;5;13;6;2500;16;0.00075;0.00075;0.00075
36;13;16;6;2500;16;0.00075;0.00075;0.00075
37;5;14;6;2500;16;0.00075;0.00075;0.00075
38;4;14;6;2500;16;0.00075;0.00075;0.00075
39;14;16;6;2500;16;0.00075;0.00075;0.00075
40;5;15;4;1000;16;0.0005;0.0005;0.0005
41;4;15;4;1000;16;0.0005;0.0005;0.0005
42;8;15;3;500;22;0.000375;0.000375;0.000375
43;16;17;6;2500;16;0.00075;0.00075;0.00075
44;8;17;4;1000;16;0.0005;0.0005;0.0005
45;5;17;4;1000;16;0.0005;0.0005;0.0005
46;5;18;3;500;22;0.000375;0.000375;0.000375
47;8;18;6;2500;16;0.00075;0.00075;0.00075
48;16;18;6;2500;16;0.00075;0.00075;0.00075
