index;origin;destination;slots;max_length;
1;4;5;6;2000;
2;4;8;6;2000;
3;4;16;6;1000;
4;5;8;6;2000;
5;5;16;6;2000;
6;8;16;6;2000;
7;1;8;4;1000;
8;1;4;6;2500;
9;1;16;6;2500;
10;2;16;3;500;
11;2;4;3;500;
12;2;8;4;1000;
13;3;5;3;500;
14;3;8;6;2500;
15;3;16;6;2500;
16;5;6;4;1000;
17;6;16;6;2500;
18;6;8;6;2500;
19;7;16;3;500;
20;7;8;6;2500;
21;5;7;6;2500;
22;4;9;3;500;
23;5;9;4;1000;
24;8;9;4;1000;
25;4;10;3;500;
26;8;10;4;1000;
27;10;16;3;500;
28;5;11;4;1000;
29;11;16;6;2500;
30;4;11;6;2500;
31;8;12;6;2500;
32;5;12;6;2500;
33;12;16;6;2500;
34;5;13;6;2500;
35;8;13;6;2500;
36;4;13;6;2500;
37;5;14;6;2500;
38;14;16;6;2500;
39;4;14;6;2500;
40;4;15;4;1000;
41;8;15;3;500;
42;5;15;4;1000;
43;5;17;4;1000;
44;16;17;6;2500;
45;8;17;4;1000;
46;4;18;6;2500;
47;16;18;6;2500;
48;8;18;6;2500;
