 index	; origin ; destination; slots ; max_length ; 
1; 1 ; 9; 3 ; 6000;
2; 3 ; 10; 3 ; 6000;
3; 3 ; 14; 3 ; 6000;
4; 10 ; 12; 5 ; 3000;
5; 5 ; 11; 3 ; 6000;
6; 3 ; 13; 3 ; 6000;
7; 7 ; 8; 5 ; 3000;
8; 1 ; 10; 3 ; 6000;
9; 7 ; 8; 5 ; 3000;
10; 2 ; 8; 3 ; 6000;
11; 2 ; 14; 3 ; 6000;
12; 9 ; 13; 5 ; 3000;
13; 1 ; 10; 3 ; 6000;
14; 3 ; 13; 3 ; 6000;
15; 1 ; 4; 5 ; 3000;
16; 9 ; 13; 5 ; 3000;
17; 3 ; 12; 3 ; 6000;
18; 5 ; 6; 5 ; 3000;
19; 6 ; 12; 3 ; 6000;
20; 8 ; 10; 5 ; 3000;
21; 4 ; 14; 3 ; 6000;
22; 3 ; 12; 3 ; 6000;
23; 1 ; 8; 3 ; 6000;
24; 2 ; 10; 3 ; 6000;
25; 4 ; 12; 3 ; 6000;
26; 3 ; 9; 3 ; 6000;
27; 4 ; 10; 3 ; 6000;
28; 8 ; 13; 5 ; 3000;
29; 5 ; 10; 3 ; 6000;
30; 11 ; 14; 3 ; 3000;
31; 8 ; 14; 5 ; 3000;
32; 2 ; 11; 3 ; 6000;
33; 6 ; 9; 5 ; 3000;
34; 9 ; 11; 3 ; 6000;
35; 3 ; 9; 3 ; 6000;
36; 1 ; 3; 5 ; 3000;
37; 3 ; 12; 3 ; 6000;
38; 4 ; 13; 3 ; 6000;
39; 7 ; 13; 3 ; 6000;
40; 9 ; 13; 5 ; 3000;
41; 10 ; 11; 5 ; 3000;
42; 1 ; 8; 3 ; 6000;
43; 5 ; 9; 5 ; 3000;
44; 8 ; 14; 5 ; 3000;
45; 11 ; 12; 5 ; 3000;
46; 3 ; 13; 3 ; 6000;
47; 3 ; 9; 3 ; 6000;
48; 10 ; 13; 3 ; 6000;
49; 1 ; 10; 3 ; 6000;
50; 3 ; 12; 3 ; 6000;
