Index;Origin;Destination;length;slices;cost
1;2;3;10;20;1
2;1;2;5;20;1
3;1;4;15;20;1
4;3;4;18;20;1
5;3;6;20;20;1
6;5;6;17;20;1
7;4;5;19;20;1
8;1;9;30;20;1
9;4;9;20;20;1
10;5;10;50;20;1
11;9;10;8;20;1
12;6;7;10;20;1
13;7;8;13;20;1
14;5;8;15;20;1
15;7;11;19;20;1
16;8;11;25;20;1
17;11;12;24;20;1
18;11;14;34;20;1
19;12;14;10;20;1
20;12;13;6;20;1
21;13;14;12;20;1
22;8;15;10;20;1
23;14;15;7;20;1
24;10;15;23;20;1
25;13;17;20;20;1
26;16;17;40;20;1
27;15;16;13;20;1
28;10;18;20;20;1
29;16;18;14;20;1
30;16;19;19;20;1
31;9;19;31;20;1
32;17;20;5;20;1
33;19;20;4;20;1
34;19;21;16;20;1
35;20;21;17;20;1
