 index	; origin ; destination; slots ; max_length ;osnr_limit;pchC;pchL;pchS
1; 8 ; 5; 2 ; 2000;23;0.00025;0.00025;0.00025
2; 10 ; 5; 1 ; 2000;18;0.000125;0.000125;0.000125
3; 9 ; 3; 3 ; 2000;23;0.000375;0.000375;0.000375
4; 6 ; 2; 1 ; 2000;19;0.000125;0.000125;0.000125
5; 2 ; 6; 4 ; 2000;25;0.0005;0.0005;0.0005
6; 8 ; 7; 3 ; 2000;25;0.000375;0.000375;0.000375
7; 5 ; 3; 4 ; 2000;25;0.0005;0.0005;0.0005
8; 3 ; 2; 2 ; 2000;23;0.00025;0.00025;0.00025
9; 9 ; 6; 1 ; 2000;18;0.000125;0.000125;0.000125
10; 7 ; 2; 4 ; 2000;24;0.0005;0.0005;0.0005
11; 10 ; 3; 3 ; 2000;22;0.000375;0.000375;0.000375
12; 10 ; 6; 4 ; 2000;26;0.0005;0.0005;0.0005
13; 4 ; 2; 3 ; 2000;25;0.000375;0.000375;0.000375
14; 4 ; 5; 3 ; 2000;21;0.000375;0.000375;0.000375
15; 2 ; 4; 2 ; 2000;23;0.00025;0.00025;0.00025
16; 8 ; 5; 1 ; 2000;20;0.000125;0.000125;0.000125
17; 8 ; 10; 3 ; 2000;25;0.000375;0.000375;0.000375
18; 2 ; 10; 4 ; 2000;24;0.0005;0.0005;0.0005
19; 7 ; 6; 3 ; 2000;23;0.000375;0.000375;0.000375
20; 3 ; 9; 3 ; 2000;23;0.000375;0.000375;0.000375
