index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS
1;2;4;6;1000;24;0.00075;0.00075;0.00075
2;2;11;6;1000;24;0.00075;0.00075;0.00075
3;2;17;6;2000;21;0.00075;0.00075;0.00075
4;4;11;6;1000;24;0.00075;0.00075;0.00075
5;4;17;6;2000;21;0.00075;0.00075;0.00075
6;11;17;6;1000;24;0.00075;0.00075;0.00075
7;1;11;4;1000;16;0.0005;0.0005;0.0005
8;1;4;4;1000;16;0.0005;0.0005;0.0005
9;1;2;3;500;22;0.000375;0.000375;0.000375
10;3;11;4;1000;16;0.0005;0.0005;0.0005
11;3;4;3;500;22;0.000375;0.000375;0.000375
12;3;17;4;1000;16;0.0005;0.0005;0.0005
13;5;11;3;500;22;0.000375;0.000375;0.000375
14;4;5;3;500;22;0.000375;0.000375;0.000375
15;2;5;3;500;22;0.000375;0.000375;0.000375
16;2;6;4;1000;16;0.0005;0.0005;0.0005
17;6;17;4;1000;16;0.0005;0.0005;0.0005
18;6;11;4;1000;16;0.0005;0.0005;0.0005
19;7;11;3;500;22;0.000375;0.000375;0.000375
20;7;17;4;1000;16;0.0005;0.0005;0.0005
21;4;7;4;1000;16;0.0005;0.0005;0.0005
22;2;8;4;1000;16;0.0005;0.0005;0.0005
23;8;17;4;1000;16;0.0005;0.0005;0.0005
24;4;8;4;1000;16;0.0005;0.0005;0.0005
25;2;9;3;500;22;0.000375;0.000375;0.000375
26;9;17;4;1000;16;0.0005;0.0005;0.0005
27;4;9;4;1000;16;0.0005;0.0005;0.0005
28;2;10;4;1000;16;0.0005;0.0005;0.0005
29;10;17;3;500;22;0.000375;0.000375;0.000375
30;10;11;3;500;22;0.000375;0.000375;0.000375
31;11;12;3;500;22;0.000375;0.000375;0.000375
32;2;12;4;1000;16;0.0005;0.0005;0.0005
33;12;17;4;1000;16;0.0005;0.0005;0.0005
34;4;13;4;1000;16;0.0005;0.0005;0.0005
35;11;13;3;500;22;0.000375;0.000375;0.000375
36;13;17;3;500;22;0.000375;0.000375;0.000375
37;11;14;3;500;22;0.000375;0.000375;0.000375
38;4;14;4;1000;16;0.0005;0.0005;0.0005
39;2;14;4;1000;16;0.0005;0.0005;0.0005
40;4;15;4;1000;16;0.0005;0.0005;0.0005
41;15;17;3;500;22;0.000375;0.000375;0.000375
42;11;15;4;1000;16;0.0005;0.0005;0.0005
43;11;16;4;1000;16;0.0005;0.0005;0.0005
44;16;17;3;500;22;0.000375;0.000375;0.000375
45;4;16;4;1000;16;0.0005;0.0005;0.0005
