Index;Origin;Destination;length;slices;cost
1;1;2;135;80;0
2;1;3;290;80;0
3;1;4;142;80;0
4;2;3;176;80;0
5;2;12;313;80;0
6;3;6;152;80;0
7;4;5;157;80;0
8;4;6;267;80;0
9;5;8;143;80;0
10;5;25;110;80;0
11;5;27;263;80;0
12;6;9;114;80;0
13;6;10;102;80;0
14;6;12;111;80;0
15;7;8;52;80;0
16;7;9;89;80;0
17;7;20;138;80;0
18;7;25;110;80;0
19;8;9;99;80;0
20;9;10;107;80;0
21;9;18;194;80;0
22;10;11;114;80;0
23;10;16;126;80;0
24;11;12;101;80;0
25;11;13;154;80;0
26;11;16;142;80;0
27;13;14;214;80;0
28;13;15;145;80;0
29;13;16;133;80;0
30;14;15;84;80;0
31;14;17;193;80;0
32;15;17;133;80;0
33;16;17;129;80;0
34;17;18;140;80;0
35;17;19;154;80;0
36;18;19;81;80;0
37;18;20;129;80;0
38;19;20;142;80;0
39;19;21;102;80;0
40;20;21;137;80;0
41;20;26;156;80;0
42;21;22;119;80;0
43;22;23;130;80;0
44;22;24;141;80;0
45;23;24;152;80;0
46;23;26;92;80;0
47;23;28;114;80;0
48;24;30;224;80;0
49;25;26;156;80;0
50;25;27;226;80;0
51;25;28;223;80;0
52;27;28;197;80;0
53;27;28;155;80;0
54;28;29;125;80;0
55;28;30;156;80;0
56;29;30;129;80;0
