index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;12;5;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
2;8;10;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
3;10;14;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
4;6;9;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
5;2;4;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
6;5;13;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
7;15;16;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
8;14;18;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
9;15;10;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
10;18;15;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
11;1;16;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
12;7;14;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
13;18;4;4;20000;16;3;6;50000;16;5;200;0.0005;0.0005;0.0005
14;10;11;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
15;4;8;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
16;16;8;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
17;6;14;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
18;8;12;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
19;15;3;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
20;16;2;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
21;1;10;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
22;8;10;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
23;3;4;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
24;7;8;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
25;16;9;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
26;12;17;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
27;17;18;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
28;13;4;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
29;9;7;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
30;17;3;4;20000;16;3;6;50000;16;5;200;0.0005;0.0005;0.0005
