index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;13;17;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
2;5;15;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
3;2;9;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
4;13;15;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
5;7;6;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
6;5;2;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
7;10;16;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
8;17;10;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
9;14;10;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
10;14;7;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
11;13;16;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
12;2;17;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
13;3;8;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
14;12;4;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
15;10;4;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
16;15;13;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
17;14;8;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
18;14;5;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
19;4;2;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
20;14;6;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
21;5;4;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
22;10;1;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
23;1;5;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
24;2;14;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
25;11;2;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
26;12;14;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
27;13;9;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
28;15;5;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
29;5;15;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
30;2;5;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
31;15;9;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
32;13;12;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
33;5;12;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
34;14;4;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
35;11;5;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
36;9;15;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
37;10;15;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
38;3;4;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
39;7;16;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
40;7;1;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
41;15;7;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
42;17;16;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
43;15;7;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
44;16;14;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
