index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;5;2;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
2;15;14;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
3;18;4;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
4;11;1;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
5;2;18;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
6;17;11;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
7;6;1;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
8;6;18;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
9;11;7;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
10;4;6;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
11;8;13;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
12;1;5;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
13;9;12;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
14;17;8;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
15;15;12;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
16;16;14;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
17;11;6;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
18;2;7;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
19;1;4;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
20;5;16;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
21;6;5;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
22;13;6;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
23;8;9;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
24;16;3;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
25;14;3;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
26;12;15;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
27;3;1;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
28;15;18;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
29;16;5;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
30;14;11;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
31;2;11;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
32;18;8;4;20000;16;3;6;50000;16;5;200;0.0005;0.0005;0.0005
33;7;17;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
34;15;5;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
35;7;9;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
36;5;8;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
37;15;14;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
38;15;6;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
39;8;15;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
40;2;6;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
41;16;12;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
42;1;12;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
43;14;7;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
44;16;1;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
45;13;16;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
46;10;17;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
47;5;14;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
48;15;1;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
49;17;11;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
50;17;15;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
51;6;18;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
52;4;8;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
53;9;18;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
54;2;18;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
55;11;15;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
56;7;8;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
57;10;7;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
58;16;15;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
59;16;10;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
60;9;17;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
