index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;12;3;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
2;12;1;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
3;4;16;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
4;12;5;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
5;8;1;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
6;12;17;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
7;14;8;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
8;9;15;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
9;14;11;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
10;17;16;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
11;2;17;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
12;11;16;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
13;9;15;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
14;12;4;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
15;2;12;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
16;16;17;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
17;4;7;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
18;7;16;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
19;9;2;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
20;10;14;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
21;7;14;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
22;16;9;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
23;10;17;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
24;17;4;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
25;12;9;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
26;13;14;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
27;9;3;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
28;12;5;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
29;17;11;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
30;14;15;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
31;2;13;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
32;4;14;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
33;2;10;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
34;7;3;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
35;11;2;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
36;7;2;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
37;1;8;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
38;13;16;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
39;13;12;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
40;9;3;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
