index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;8;10;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
2;7;12;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
3;6;8;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
4;4;11;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
5;6;1;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
6;4;10;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
7;5;9;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
8;9;2;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
9;13;8;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
10;10;14;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
11;11;7;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
12;7;11;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
13;10;9;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
14;14;5;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
15;6;4;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
16;6;14;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
17;1;8;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
18;4;8;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
19;5;12;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
20;10;1;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
