index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;5;11;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
2;2;1;4;20000;16;3;6;50000;16;5;200;0.0005;0.0005;0.0005
3;2;3;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
4;5;10;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
5;10;13;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
6;14;3;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
7;2;3;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
8;4;14;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
9;3;9;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
10;14;7;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
11;2;5;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
12;10;12;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
13;3;12;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
14;4;11;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
15;13;7;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
16;6;3;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
17;2;5;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
18;4;12;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
19;13;2;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
20;7;12;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
21;4;2;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
22;4;11;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
23;5;8;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
24;6;8;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
25;13;7;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
26;14;3;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
27;3;5;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
28;12;7;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
29;9;11;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
30;8;12;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
31;13;6;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
32;6;13;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
33;5;2;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
34;9;7;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
35;3;9;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
36;10;6;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
37;2;11;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
38;9;6;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
39;7;11;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
40;14;2;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
41;11;2;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
42;8;2;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
43;11;8;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
44;14;4;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
45;11;1;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
46;10;11;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
47;14;3;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
48;14;3;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
49;13;5;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
50;10;9;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
