index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;1;17;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
2;6;18;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
3;17;15;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
4;10;6;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
5;6;9;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
6;7;4;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
7;18;3;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
8;2;4;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
9;2;5;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
10;6;16;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
11;7;18;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
12;4;8;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
13;2;8;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
14;11;7;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
15;13;9;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
16;16;15;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
17;5;11;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
18;1;13;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
19;16;3;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
20;7;8;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
21;1;4;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
22;15;7;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
23;11;2;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
24;11;1;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
25;9;18;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
26;6;4;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
27;3;10;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
28;4;9;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
29;2;17;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
30;9;7;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
31;6;10;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
32;8;15;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
33;16;10;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
34;9;3;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
35;2;7;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
