index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;12;2;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
2;7;11;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
3;6;12;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
4;2;4;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
5;7;5;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
6;8;7;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
7;13;8;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
8;7;13;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
9;14;10;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
10;5;11;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
11;1;9;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
12;5;1;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
13;1;6;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
14;3;14;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
15;11;2;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
16;2;5;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
17;9;4;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
18;7;5;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
19;9;7;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
20;12;14;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
21;8;2;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
22;11;10;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
23;2;6;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
24;9;6;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
25;4;1;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
26;11;2;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
27;9;12;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
28;7;3;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
29;4;11;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
30;14;3;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
