index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;16;13;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
2;14;3;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
3;3;16;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
4;3;11;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
5;10;3;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
6;15;9;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
7;7;17;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
8;8;14;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
9;1;6;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
10;17;14;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
11;4;16;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
12;14;2;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
13;4;5;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
14;16;14;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
15;3;7;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
16;6;3;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
17;15;4;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
18;12;9;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
19;15;7;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
20;1;16;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
21;11;3;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
22;12;5;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
23;4;13;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
24;15;14;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
25;1;9;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
26;9;5;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
27;1;17;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
28;5;15;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
29;17;10;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
30;4;6;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
31;11;12;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
32;17;13;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
33;13;11;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
34;11;8;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
35;13;4;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
36;6;16;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
37;5;2;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
38;11;7;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
39;11;4;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
40;8;17;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
41;8;11;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
42;4;10;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
43;16;2;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
44;15;3;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
45;17;5;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
46;13;14;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
47;2;11;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
48;15;9;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
49;17;1;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
50;1;8;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
51;4;15;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
52;14;16;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
53;6;17;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
54;12;5;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
55;4;5;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
56;1;3;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
57;2;4;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
58;12;5;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
59;2;1;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
60;17;4;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
