index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;10;5;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
2;9;1;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
3;5;1;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
4;5;10;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
5;1;7;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
6;13;11;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
7;14;1;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
8;6;3;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
9;7;8;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
10;13;7;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
11;5;8;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
12;5;10;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
13;7;14;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
14;5;3;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
15;9;4;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
16;5;11;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
17;12;2;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
18;13;12;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
19;14;2;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
20;6;9;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
21;12;9;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
22;9;14;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
23;1;4;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
24;8;11;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
25;5;13;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
26;1;7;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
27;4;12;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
28;6;2;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
29;5;1;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
30;14;1;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
31;14;7;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
32;12;2;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
33;10;11;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
34;13;9;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
35;9;7;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
36;5;4;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
37;2;13;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
38;8;11;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
39;8;9;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
40;11;12;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
41;13;11;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
42;5;8;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
43;6;11;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
44;1;12;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
45;7;2;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
46;4;14;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
47;11;10;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
48;5;13;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
49;10;3;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
50;1;9;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
51;12;3;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
52;6;14;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
53;3;2;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
54;10;13;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
55;14;13;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
56;12;4;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
57;5;4;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
58;7;14;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
59;14;6;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
60;13;1;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
