index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;7;1;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
2;11;6;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
3;4;8;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
4;1;12;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
5;11;4;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
6;4;13;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
7;8;14;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
8;11;10;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
9;12;1;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
10;5;3;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
11;6;14;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
12;8;13;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
13;6;8;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
14;5;2;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
15;9;2;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
16;8;4;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
17;10;5;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
18;9;14;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
19;5;14;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
20;6;8;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
21;5;1;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
22;12;10;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
23;14;4;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
24;6;13;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
25;7;4;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
26;14;8;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
27;9;1;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
28;9;12;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
29;11;7;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
30;7;11;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
31;8;12;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
32;3;14;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
33;5;12;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
34;7;8;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
35;2;5;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
36;7;8;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
37;13;6;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
38;4;10;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
39;14;12;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
40;1;14;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
41;10;14;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
42;4;11;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
43;2;7;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
44;5;14;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
45;9;6;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
46;8;1;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
47;1;11;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
48;1;3;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
49;10;13;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
50;14;9;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
51;7;12;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
52;4;6;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
53;11;5;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
54;3;13;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
55;13;10;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
56;4;5;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
57;14;9;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
58;3;10;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
59;4;9;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
60;3;2;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
61;14;7;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
62;13;4;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
63;3;9;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
64;4;14;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
65;13;3;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
66;3;1;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
67;3;2;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
68;6;11;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
69;10;4;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
70;3;5;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
