index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;12;16;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
2;6;1;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
3;14;4;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
4;4;6;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
5;13;10;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
6;12;8;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
7;14;12;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
8;17;1;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
9;1;6;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
10;11;7;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
11;1;17;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
12;8;10;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
13;2;1;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
14;9;3;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
15;3;2;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
16;9;14;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
17;12;1;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
18;16;2;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
19;8;10;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
20;6;11;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
21;13;4;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
22;3;17;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
23;12;8;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
24;6;16;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
25;11;17;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
26;1;8;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
27;7;4;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
28;5;14;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
29;9;13;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
30;6;16;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
31;17;15;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
32;9;13;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
33;9;8;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
34;12;15;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
35;1;11;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
36;10;2;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
37;7;4;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
38;18;3;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
39;9;8;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
40;17;13;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
41;9;8;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
42;6;5;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
43;12;5;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
44;10;3;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
45;11;13;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
46;13;11;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
47;10;5;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
48;11;2;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
49;8;11;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
50;3;6;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
51;16;5;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
52;17;16;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
53;1;11;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
54;18;9;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
55;4;10;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
56;12;2;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
57;5;3;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
58;2;11;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
59;11;12;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
60;16;11;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
61;2;11;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
62;15;6;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
63;1;13;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
64;18;5;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
65;2;12;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
66;9;16;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
67;13;9;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
68;7;17;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
69;15;7;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
70;17;1;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
71;13;3;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
72;7;15;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
73;15;7;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
74;4;6;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
75;2;18;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
76;8;9;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
77;5;8;4;20000;16;3;6;50000;16;5;200;0.0005;0.0005;0.0005
78;11;10;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
79;14;7;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
80;2;18;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
81;13;17;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
82;16;17;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
83;17;5;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
84;14;9;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
85;16;10;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
86;5;18;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
87;1;10;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
88;18;10;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
89;13;18;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
90;3;18;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
91;3;8;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
92;4;8;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
93;3;1;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
94;1;2;4;20000;16;3;6;50000;16;5;200;0.0005;0.0005;0.0005
95;9;16;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
96;1;16;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
97;6;9;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
98;2;10;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
99;10;4;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
100;16;3;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
