index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;7;16;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
2;6;16;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
3;9;18;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
4;15;8;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
5;7;16;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
6;16;4;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
7;3;4;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
8;6;14;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
9;14;15;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
10;5;17;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
11;2;10;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
12;15;11;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
13;2;6;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
14;6;9;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
15;3;12;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
16;10;2;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
17;3;15;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
18;3;9;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
19;4;8;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
20;15;4;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
