index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;3;9;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
2;16;6;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
3;14;8;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
4;17;15;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
5;9;1;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
6;6;2;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
7;6;11;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
8;2;16;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
9;5;16;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
10;5;2;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
11;4;17;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
12;9;7;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
13;7;13;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
14;2;5;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
15;16;11;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
16;2;5;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
17;9;7;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
18;4;2;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
19;14;16;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
20;9;4;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
21;5;13;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
22;2;12;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
23;3;10;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
24;13;7;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
25;9;2;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
26;12;5;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
27;6;17;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
28;7;5;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
29;16;4;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
30;9;6;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
31;3;11;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
32;12;7;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
33;16;1;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
34;17;15;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
35;5;10;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
36;6;14;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
37;16;11;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
38;6;10;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
39;11;15;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
40;15;11;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
41;15;11;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
42;5;3;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
43;3;7;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
44;17;16;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
45;4;8;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
46;6;17;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
47;14;9;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
48;16;11;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
49;4;1;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
50;13;4;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
51;7;2;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
52;5;17;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
53;3;7;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
54;9;2;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
55;7;8;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
56;16;9;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
57;13;1;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
