index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;8;9;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
2;17;1;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
3;9;5;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
4;10;3;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
5;6;5;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
6;11;5;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
7;5;8;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
8;16;9;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
9;2;10;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
10;3;9;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
11;9;8;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
12;12;5;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
13;5;6;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
14;2;4;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
15;4;16;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
16;10;5;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
17;17;6;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
18;3;16;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
19;11;7;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
20;17;1;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
21;2;8;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
22;16;8;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
23;16;4;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
24;6;1;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
25;2;5;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
26;6;13;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
27;12;14;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
28;10;13;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
29;9;12;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
30;8;2;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
31;4;14;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
32;1;4;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
33;15;7;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
34;5;15;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
35;17;8;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
36;9;11;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
37;4;15;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
38;3;15;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
39;7;8;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
40;11;12;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
41;17;15;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
42;13;17;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
43;7;3;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
44;9;13;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
