index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;5;15;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
2;14;4;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
3;6;5;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
4;2;14;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
5;15;16;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
6;1;12;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
7;14;17;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
8;2;6;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
9;1;12;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
10;8;9;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
11;11;4;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
12;5;15;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
13;5;10;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
14;14;1;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
15;13;5;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
16;12;17;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
17;13;6;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
18;3;10;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
19;4;12;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
20;13;10;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
21;5;12;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
22;16;2;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
23;9;6;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
24;3;7;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
25;13;8;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
26;15;14;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
27;14;17;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
