index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;4;9;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
2;2;10;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
3;14;8;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
4;14;11;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
5;4;13;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
6;5;14;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
7;5;9;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
8;12;2;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
9;2;1;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
10;2;12;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
11;10;7;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
12;10;3;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
13;1;7;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
14;13;3;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
15;5;12;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
16;1;7;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
17;2;14;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
18;12;4;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
19;9;10;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
20;12;9;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
21;5;3;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
22;1;3;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
23;8;14;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
24;9;14;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
25;3;2;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
26;10;2;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
27;9;6;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
28;8;2;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
29;14;7;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
30;13;1;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
31;10;8;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
32;8;12;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
33;3;10;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
34;2;5;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
35;10;5;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
36;12;11;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
37;1;3;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
38;2;7;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
39;13;12;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
40;4;9;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
41;3;2;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
42;14;13;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
43;1;10;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
44;14;1;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
45;4;14;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
46;6;1;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
47;8;11;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
48;4;12;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
49;4;9;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
50;14;11;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
51;2;10;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
52;13;4;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
53;6;1;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
54;6;9;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
55;3;8;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
56;4;6;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
57;5;10;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
58;11;13;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
59;7;9;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
60;8;10;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
61;9;11;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
62;10;9;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
63;7;11;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
64;4;9;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
65;11;12;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
66;2;10;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
67;5;8;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
68;2;6;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
69;1;5;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
70;11;13;4;20000;16;3;6;50000;16;5;200;0.0005;0.0005;0.0005
71;7;9;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
72;9;13;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
73;7;13;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
74;13;7;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
75;2;7;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
76;13;8;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
77;6;5;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
78;9;6;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
79;1;10;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
80;12;13;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
