index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;15;4;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
2;11;14;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
3;9;7;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
4;15;2;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
5;12;7;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
6;13;12;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
7;14;11;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
8;5;9;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
9;9;4;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
10;2;9;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
11;10;5;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
12;8;6;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
13;1;11;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
14;16;14;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
15;8;4;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
16;5;1;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
17;17;5;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
18;12;2;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
19;17;1;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
20;3;5;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
21;6;12;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
22;16;8;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
23;1;4;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
24;15;6;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
25;2;13;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
26;6;11;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
27;8;12;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
28;6;8;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
29;11;15;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
30;10;17;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
31;8;17;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
32;6;15;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
33;2;4;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
34;9;12;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
35;4;14;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
36;1;5;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
37;13;10;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
38;3;17;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
39;4;7;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
40;16;17;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
41;14;15;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
42;2;8;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
43;15;16;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
44;16;2;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
45;5;9;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
46;1;7;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
47;17;4;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
48;3;11;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
49;13;2;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
50;8;15;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
51;9;10;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
52;7;9;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
53;6;11;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
54;7;16;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
55;11;5;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
56;1;16;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
57;9;8;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
58;6;4;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
59;10;13;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
60;11;8;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
