index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;6;13;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
2;8;13;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
3;11;8;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
4;3;14;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
5;1;4;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
6;1;6;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
7;11;12;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
8;11;6;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
9;5;8;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
10;2;7;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
11;5;8;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
12;14;4;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
13;2;7;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
14;4;14;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
15;1;8;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
16;6;11;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
17;8;10;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
18;14;4;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
19;7;6;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
20;5;9;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
21;11;5;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
22;2;11;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
23;11;10;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
24;12;10;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
25;3;5;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
26;1;4;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
27;14;6;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
28;11;6;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
29;10;9;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
30;8;2;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
31;9;2;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
32;2;13;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
33;7;5;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
34;2;14;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
35;2;6;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
36;8;13;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
37;10;13;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
38;10;6;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
39;11;9;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
40;11;14;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
41;1;14;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
42;10;14;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
43;13;8;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
44;14;2;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
45;8;14;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
46;10;11;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
47;11;13;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
48;8;5;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
49;13;9;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
50;8;9;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
51;3;4;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
52;11;1;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
53;7;10;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
54;13;10;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
55;11;13;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
56;13;14;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
57;7;11;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
58;8;4;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
59;6;11;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
60;8;3;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
