index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;4;3;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
2;9;15;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
3;2;11;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
4;16;8;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
5;9;5;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
6;14;3;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
7;17;7;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
8;5;15;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
9;15;16;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
10;8;2;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
11;3;4;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
12;3;7;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
13;7;13;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
14;3;9;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
15;2;9;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
16;16;9;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
17;9;10;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
18;14;17;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
19;15;8;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
20;6;4;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
21;3;15;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
22;6;2;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
23;15;17;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
24;18;16;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
25;3;16;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
26;11;15;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
27;13;5;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
28;15;6;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
29;8;6;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
30;17;14;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
31;10;14;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
32;16;7;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
33;12;1;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
34;17;10;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
35;9;14;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
36;7;15;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
37;6;11;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
38;1;12;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
39;9;4;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
40;12;1;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
41;4;11;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
42;10;15;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
43;7;13;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
44;1;11;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
45;3;15;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
46;4;16;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
47;17;15;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
48;17;9;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
49;7;8;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
50;3;11;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
51;1;16;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
52;7;1;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
53;3;8;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
54;7;10;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
55;8;16;4;20000;16;3;6;50000;16;5;200;0.0005;0.0005;0.0005
56;14;8;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
57;10;1;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
58;12;1;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
59;8;2;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
60;5;6;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
61;2;9;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
62;4;9;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
63;18;6;4;20000;16;3;6;50000;16;5;200;0.0005;0.0005;0.0005
64;9;3;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
65;16;9;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
66;6;7;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
67;8;6;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
68;3;9;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
69;12;2;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
70;1;3;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
