index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;9;3;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
2;15;5;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
3;5;4;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
4;14;12;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
5;12;11;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
6;5;12;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
7;8;15;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
8;16;6;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
9;1;16;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
10;4;16;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
11;17;4;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
12;10;6;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
13;1;17;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
14;8;11;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
15;13;3;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
16;11;3;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
17;8;10;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
18;10;1;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
19;9;11;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
20;14;8;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
21;2;17;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
22;17;15;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
23;5;9;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
24;1;14;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
25;11;4;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
26;4;14;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
27;1;16;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
28;9;3;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
29;8;1;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
30;4;7;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
31;4;14;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
32;7;2;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
33;11;15;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
34;14;5;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
35;12;1;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
36;8;2;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
37;6;10;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
38;9;13;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
39;8;2;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
40;13;6;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
41;10;3;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
42;1;5;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
43;5;6;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
44;2;1;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
45;6;10;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
46;16;2;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
47;15;5;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
48;2;1;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
49;9;11;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
50;8;3;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
