LinkS;TranspS;Instance;Demands;OF;Formulation;CD;OSNR;GNpy;Bands;Reinforcements;Cuts;Prepro;Genetic;It;Pop;Cross;Mut;cK;eK;LBactive;CplexStrategy
1.0x;random;Nsfnet_14_21;80-b-b;TUS;20;1;1;0;1;0;0;2;0;50;500;100;200;10;15;0;0
1.0x;random;Nsfnet_14_21;80-b-b;TUS;21;1;1;0;1;0;0;2;0;50;500;100;200;10;15;0;0
1.0x;random;Nsfnet_14_21;80-b-b;TUS;22;1;1;0;1;0;0;2;0;50;500;100;200;10;15;0;0
1.0x;random;Nsfnet_14_21;80-b-b;TUS;23;1;1;0;1;0;0;2;0;50;500;100;200;10;15;0;0
1.0x;random;Nsfnet_14_21;80-b-b;TRL;20;1;1;0;1;0;0;2;0;50;500;100;200;10;15;0;0
1.0x;random;Nsfnet_14_21;80-b-b;TRL;21;1;1;0;1;0;0;2;0;50;500;100;200;10;15;0;0
1.0x;random;Nsfnet_14_21;80-b-b;TRL;22;1;1;0;1;0;0;2;0;50;500;100;200;10;15;0;0
1.0x;random;Nsfnet_14_21;80-b-b;TRL;23;1;1;0;1;0;0;2;0;50;500;100;200;10;15;0;0
1.0x;random;Nsfnet_14_21;80-b-b;NLUS;20;1;1;0;1;0;0;2;0;50;500;100;200;10;15;0;0
1.0x;random;Nsfnet_14_21;80-b-b;NLUS;21;1;1;0;1;0;0;2;0;50;500;100;200;10;15;0;0
1.0x;random;Nsfnet_14_21;80-b-b;NLUS;22;1;1;0;1;0;0;2;0;50;500;100;200;10;15;0;0
1.0x;random;Nsfnet_14_21;80-b-b;NLUS;23;1;1;0;1;0;0;2;0;50;500;100;200;10;15;0;0
1.0x;random;Nsfnet_14_21;90-b-b;TUS;20;1;1;0;1;0;0;2;0;50;500;100;200;10;15;0;0
1.0x;random;Nsfnet_14_21;90-b-b;TUS;21;1;1;0;1;0;0;2;0;50;500;100;200;10;15;0;0
1.0x;random;Nsfnet_14_21;90-b-b;TUS;22;1;1;0;1;0;0;2;0;50;500;100;200;10;15;0;0
1.0x;random;Nsfnet_14_21;90-b-b;TUS;23;1;1;0;1;0;0;2;0;50;500;100;200;10;15;0;0
1.0x;random;Nsfnet_14_21;90-b-b;TRL;20;1;1;0;1;0;0;2;0;50;500;100;200;10;15;0;0
1.0x;random;Nsfnet_14_21;90-b-b;TRL;21;1;1;0;1;0;0;2;0;50;500;100;200;10;15;0;0
1.0x;random;Nsfnet_14_21;90-b-b;TRL;22;1;1;0;1;0;0;2;0;50;500;100;200;10;15;0;0
1.0x;random;Nsfnet_14_21;90-b-b;TRL;23;1;1;0;1;0;0;2;0;50;500;100;200;10;15;0;0
1.0x;random;Nsfnet_14_21;90-b-b;NLUS;20;1;1;0;1;0;0;2;0;50;500;100;200;10;15;0;0
1.0x;random;Nsfnet_14_21;90-b-b;NLUS;21;1;1;0;1;0;0;2;0;50;500;100;200;10;15;0;0
1.0x;random;Nsfnet_14_21;90-b-b;NLUS;22;1;1;0;1;0;0;2;0;50;500;100;200;10;15;0;0
1.0x;random;Nsfnet_14_21;90-b-b;NLUS;23;1;1;0;1;0;0;2;0;50;500;100;200;10;15;0;0
1.0x;random;Nsfnet_14_21;60;TUS;20;1;1;0;1;0;0;2;0;50;500;100;200;10;15;0;0
1.0x;random;Nsfnet_14_21;60;TUS;21;1;1;0;1;0;0;2;0;50;500;100;200;10;15;0;0
1.0x;random;Nsfnet_14_21;60;TUS;22;1;1;0;1;0;0;2;0;50;500;100;200;10;15;0;0
1.0x;random;Nsfnet_14_21;60;TUS;23;1;1;0;1;0;0;2;0;50;500;100;200;10;15;0;0
1.0x;random;Nsfnet_14_21;60;TRL;20;1;1;0;1;0;0;2;0;50;500;100;200;10;15;0;0
1.0x;random;Nsfnet_14_21;60;TRL;21;1;1;0;1;0;0;2;0;50;500;100;200;10;15;0;0
1.0x;random;Nsfnet_14_21;60;TRL;22;1;1;0;1;0;0;2;0;50;500;100;200;10;15;0;0
1.0x;random;Nsfnet_14_21;60;TRL;23;1;1;0;1;0;0;2;0;50;500;100;200;10;15;0;0
1.0x;random;Nsfnet_14_21;60;NLUS;20;1;1;0;1;0;0;2;0;50;500;100;200;10;15;0;0
1.0x;random;Nsfnet_14_21;60;NLUS;21;1;1;0;1;0;0;2;0;50;500;100;200;10;15;0;0
1.0x;random;Nsfnet_14_21;60;NLUS;22;1;1;0;1;0;0;2;0;50;500;100;200;10;15;0;0
1.0x;random;Nsfnet_14_21;60;NLUS;23;1;1;0;1;0;0;2;0;50;500;100;200;10;15;0;0
1.0x;random;Nsfnet_14_21;20-b-b;TUS;20;1;1;0;1;0;0;2;0;50;500;100;200;10;15;0;0
1.0x;random;Nsfnet_14_21;20-b-b;TUS;21;1;1;0;1;0;0;2;0;50;500;100;200;10;15;0;0
1.0x;random;Nsfnet_14_21;20-b-b;TUS;22;1;1;0;1;0;0;2;0;50;500;100;200;10;15;0;0
1.0x;random;Nsfnet_14_21;20-b-b;TUS;23;1;1;0;1;0;0;2;0;50;500;100;200;10;15;0;0
1.0x;random;Nsfnet_14_21;20-b-b;TRL;20;1;1;0;1;0;0;2;0;50;500;100;200;10;15;0;0
1.0x;random;Nsfnet_14_21;20-b-b;TRL;21;1;1;0;1;0;0;2;0;50;500;100;200;10;15;0;0
1.0x;random;Nsfnet_14_21;20-b-b;TRL;22;1;1;0;1;0;0;2;0;50;500;100;200;10;15;0;0
1.0x;random;Nsfnet_14_21;20-b-b;TRL;23;1;1;0;1;0;0;2;0;50;500;100;200;10;15;0;0
1.0x;random;Nsfnet_14_21;20-b-b;NLUS;20;1;1;0;1;0;0;2;0;50;500;100;200;10;15;0;0
1.0x;random;Nsfnet_14_21;20-b-b;NLUS;21;1;1;0;1;0;0;2;0;50;500;100;200;10;15;0;0
1.0x;random;Nsfnet_14_21;20-b-b;NLUS;22;1;1;0;1;0;0;2;0;50;500;100;200;10;15;0;0
1.0x;random;Nsfnet_14_21;20-b-b;NLUS;23;1;1;0;1;0;0;2;0;50;500;100;200;10;15;0;0
1.0x;random;Nsfnet_14_21;50-b-b;TUS;20;1;1;0;1;0;0;2;0;50;500;100;200;10;15;0;0
1.0x;random;Nsfnet_14_21;50-b-b;TUS;21;1;1;0;1;0;0;2;0;50;500;100;200;10;15;0;0
1.0x;random;Nsfnet_14_21;50-b-b;TUS;22;1;1;0;1;0;0;2;0;50;500;100;200;10;15;0;0
1.0x;random;Nsfnet_14_21;50-b-b;TUS;23;1;1;0;1;0;0;2;0;50;500;100;200;10;15;0;0
1.0x;random;Nsfnet_14_21;50-b-b;TRL;20;1;1;0;1;0;0;2;0;50;500;100;200;10;15;0;0
1.0x;random;Nsfnet_14_21;50-b-b;TRL;21;1;1;0;1;0;0;2;0;50;500;100;200;10;15;0;0
1.0x;random;Nsfnet_14_21;50-b-b;TRL;22;1;1;0;1;0;0;2;0;50;500;100;200;10;15;0;0
1.0x;random;Nsfnet_14_21;50-b-b;TRL;23;1;1;0;1;0;0;2;0;50;500;100;200;10;15;0;0
1.0x;random;Nsfnet_14_21;50-b-b;NLUS;20;1;1;0;1;0;0;2;0;50;500;100;200;10;15;0;0
1.0x;random;Nsfnet_14_21;50-b-b;NLUS;21;1;1;0;1;0;0;2;0;50;500;100;200;10;15;0;0
1.0x;random;Nsfnet_14_21;50-b-b;NLUS;22;1;1;0;1;0;0;2;0;50;500;100;200;10;15;0;0
1.0x;random;Nsfnet_14_21;50-b-b;NLUS;23;1;1;0;1;0;0;2;0;50;500;100;200;10;15;0;0
1.0x;random;Nsfnet_14_21;100-b;TUS;20;1;1;0;1;0;0;2;0;50;500;100;200;10;15;0;0
1.0x;random;Nsfnet_14_21;100-b;TUS;21;1;1;0;1;0;0;2;0;50;500;100;200;10;15;0;0
1.0x;random;Nsfnet_14_21;100-b;TUS;22;1;1;0;1;0;0;2;0;50;500;100;200;10;15;0;0
1.0x;random;Nsfnet_14_21;100-b;TUS;23;1;1;0;1;0;0;2;0;50;500;100;200;10;15;0;0
1.0x;random;Nsfnet_14_21;100-b;TRL;20;1;1;0;1;0;0;2;0;50;500;100;200;10;15;0;0
1.0x;random;Nsfnet_14_21;100-b;TRL;21;1;1;0;1;0;0;2;0;50;500;100;200;10;15;0;0
1.0x;random;Nsfnet_14_21;100-b;TRL;22;1;1;0;1;0;0;2;0;50;500;100;200;10;15;0;0
1.0x;random;Nsfnet_14_21;100-b;TRL;23;1;1;0;1;0;0;2;0;50;500;100;200;10;15;0;0
1.0x;random;Nsfnet_14_21;100-b;NLUS;20;1;1;0;1;0;0;2;0;50;500;100;200;10;15;0;0
1.0x;random;Nsfnet_14_21;100-b;NLUS;21;1;1;0;1;0;0;2;0;50;500;100;200;10;15;0;0
1.0x;random;Nsfnet_14_21;100-b;NLUS;22;1;1;0;1;0;0;2;0;50;500;100;200;10;15;0;0
1.0x;random;Nsfnet_14_21;100-b;NLUS;23;1;1;0;1;0;0;2;0;50;500;100;200;10;15;0;0
1.0x;random;Nsfnet_14_21;90-b;TUS;20;1;1;0;1;0;0;2;0;50;500;100;200;10;15;0;0
1.0x;random;Nsfnet_14_21;90-b;TUS;21;1;1;0;1;0;0;2;0;50;500;100;200;10;15;0;0
1.0x;random;Nsfnet_14_21;90-b;TUS;22;1;1;0;1;0;0;2;0;50;500;100;200;10;15;0;0
1.0x;random;Nsfnet_14_21;90-b;TUS;23;1;1;0;1;0;0;2;0;50;500;100;200;10;15;0;0
1.0x;random;Nsfnet_14_21;90-b;TRL;20;1;1;0;1;0;0;2;0;50;500;100;200;10;15;0;0
