index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;12;4;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
2;1;10;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
3;10;15;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
4;13;7;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
5;16;17;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
6;12;3;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
7;2;8;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
8;1;17;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
9;7;12;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
10;11;5;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
11;9;3;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
12;2;9;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
13;13;14;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
14;17;5;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
15;11;1;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
16;17;7;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
17;11;10;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
18;1;3;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
19;7;14;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
20;16;3;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
21;13;4;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
22;9;2;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
23;14;6;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
24;9;6;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
25;4;12;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
26;8;16;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
27;15;4;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
28;1;12;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
29;3;6;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
30;7;15;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
31;12;5;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
32;15;2;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
33;2;9;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
34;7;3;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
35;16;9;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
36;14;4;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
37;13;2;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
38;14;7;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
39;14;7;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
40;7;13;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
41;10;5;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
42;6;15;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
43;15;12;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
44;8;3;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
45;17;2;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
46;9;12;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
47;9;3;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
48;5;14;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
49;3;14;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
50;15;2;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
51;13;12;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
52;9;2;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
53;9;6;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
54;6;3;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
55;15;2;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
56;3;14;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
57;8;2;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
58;13;17;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
59;16;9;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
60;5;10;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
61;15;5;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
62;11;5;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
63;16;3;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
64;13;4;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
65;3;2;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
66;12;16;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
67;14;11;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
68;10;9;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
69;15;16;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
70;6;11;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
