index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;7;5;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
2;2;4;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
3;8;13;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
4;12;1;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
5;10;3;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
6;5;17;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
7;8;10;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
8;9;12;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
9;11;14;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
10;14;8;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
11;16;13;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
12;13;8;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
13;8;15;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
14;16;9;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
15;7;5;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
16;13;16;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
17;17;2;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
18;10;1;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
19;3;11;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
20;17;9;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
21;12;10;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
22;9;5;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
23;11;5;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
24;3;6;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
25;13;16;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
26;14;6;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
27;10;5;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
28;17;3;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
29;9;5;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
30;4;11;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
31;4;16;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
32;15;3;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
33;11;16;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
34;2;11;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
35;16;11;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
36;4;6;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
37;8;12;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
38;13;5;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
39;11;12;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
40;1;9;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
