LinkS;TranspS;Instance;Demands;OF;Formulation;CD;OSNR;GNpy;Bands;Reinforcements;Cuts;Prepro
1x;random;German_17_26;80;NLUS;0;0;0;0;1;0;0;2;
1x;random;German_17_26;80;NLUS;3;0;0;0;1;0;0;2;
1x;random;German_17_26;30;NLUS;0;0;0;0;1;0;0;2;
1x;random;German_17_26;30;NLUS;3;0;0;0;1;0;0;2;
1x;random;German_17_26;60;NLUS;0;0;0;0;1;0;0;2;
1x;random;German_17_26;60;NLUS;3;0;0;0;1;0;0;2;
1x;random;German_17_26;50;NLUS;0;0;0;0;1;0;0;2;
1x;random;German_17_26;50;NLUS;3;0;0;0;1;0;0;2;
1x;random;German_17_26;70;NLUS;0;0;0;0;1;0;0;2;
1x;random;German_17_26;70;NLUS;3;0;0;0;1;0;0;2;
1x;random;German_17_26;40;NLUS;0;0;0;0;1;0;0;2;
1x;random;German_17_26;40;NLUS;3;0;0;0;1;0;0;2;
1x;random;German_17_26;20;NLUS;0;0;0;0;1;0;0;2;
1x;random;German_17_26;20;NLUS;3;0;0;0;1;0;0;2;
1.5x;random;German_17_26;80;NLUS;0;0;0;0;1;0;0;2;
1.5x;random;German_17_26;80;NLUS;3;0;0;0;1;0;0;2;
1.5x;random;German_17_26;30;NLUS;0;0;0;0;1;0;0;2;
1.5x;random;German_17_26;30;NLUS;3;0;0;0;1;0;0;2;
1.5x;random;German_17_26;60;NLUS;0;0;0;0;1;0;0;2;
1.5x;random;German_17_26;60;NLUS;3;0;0;0;1;0;0;2;
1.5x;random;German_17_26;50;NLUS;0;0;0;0;1;0;0;2;
1.5x;random;German_17_26;50;NLUS;3;0;0;0;1;0;0;2;
1.5x;random;German_17_26;70;NLUS;0;0;0;0;1;0;0;2;
1.5x;random;German_17_26;70;NLUS;3;0;0;0;1;0;0;2;
1.5x;random;German_17_26;40;NLUS;0;0;0;0;1;0;0;2;
1.5x;random;German_17_26;40;NLUS;3;0;0;0;1;0;0;2;
1.5x;random;German_17_26;20;NLUS;0;0;0;0;1;0;0;2;
1.5x;random;German_17_26;20;NLUS;3;0;0;0;1;0;0;2;
2x;random;German_17_26;80;NLUS;0;0;0;0;1;0;0;2;
2x;random;German_17_26;80;NLUS;3;0;0;0;1;0;0;2;
2x;random;German_17_26;30;NLUS;0;0;0;0;1;0;0;2;
2x;random;German_17_26;30;NLUS;3;0;0;0;1;0;0;2;
2x;random;German_17_26;60;NLUS;0;0;0;0;1;0;0;2;
2x;random;German_17_26;60;NLUS;3;0;0;0;1;0;0;2;
2x;random;German_17_26;50;NLUS;0;0;0;0;1;0;0;2;
2x;random;German_17_26;50;NLUS;3;0;0;0;1;0;0;2;
2x;random;German_17_26;70;NLUS;0;0;0;0;1;0;0;2;
2x;random;German_17_26;70;NLUS;3;0;0;0;1;0;0;2;
2x;random;German_17_26;40;NLUS;0;0;0;0;1;0;0;2;
2x;random;German_17_26;40;NLUS;3;0;0;0;1;0;0;2;
2x;random;German_17_26;20;NLUS;0;0;0;0;1;0;0;2;
2x;random;German_17_26;20;NLUS;3;0;0;0;1;0;0;2;
