index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;16;6;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
2;1;14;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
3;3;11;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
4;10;4;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
5;14;1;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
6;2;6;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
7;17;10;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
8;17;15;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
9;14;2;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
10;4;7;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
11;10;14;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
12;5;13;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
13;5;7;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
14;11;2;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
15;16;14;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
16;8;9;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
17;15;10;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
18;6;7;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
19;10;8;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
20;7;13;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
21;5;10;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
22;6;12;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
23;13;4;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
24;4;7;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
25;13;16;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
26;1;12;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
27;16;1;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
28;3;17;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
29;9;3;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
30;10;4;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
31;10;11;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
32;7;12;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
33;1;7;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
34;5;7;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
35;5;3;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
36;3;15;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
37;17;11;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
38;14;15;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
39;3;9;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
40;15;10;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
41;4;9;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
42;14;1;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
43;12;9;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
44;11;5;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
45;14;1;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
46;6;11;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
47;11;6;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
48;15;14;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
49;10;11;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
50;14;15;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
51;15;16;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
52;2;6;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
53;10;1;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
54;2;5;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
55;7;9;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
56;17;6;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
57;13;9;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
58;13;2;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
59;4;1;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
60;3;10;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
61;16;6;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
62;4;5;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
63;3;10;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
64;1;3;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
65;11;8;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
66;6;3;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
67;3;9;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
68;10;7;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
69;10;8;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
