index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;7;13;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
2;6;12;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
3;14;5;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
4;11;9;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
5;7;1;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
6;10;4;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
7;11;7;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
8;10;9;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
9;14;7;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
10;13;8;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
11;10;7;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
12;3;12;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
13;11;2;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
14;1;13;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
15;2;8;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
16;14;6;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
17;8;2;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
18;8;7;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
19;2;11;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
20;7;5;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
21;7;5;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
22;3;6;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
23;12;8;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
24;4;9;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
25;3;14;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
26;7;13;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
27;2;10;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
28;6;4;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
29;6;5;4;20000;16;3;6;50000;16;5;200;0.0005;0.0005;0.0005
30;6;3;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
31;11;10;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
32;1;14;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
