index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;4;1;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
2;12;16;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
3;7;4;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
4;9;1;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
5;10;4;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
6;10;3;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
7;16;5;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
8;13;15;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
9;1;15;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
10;8;1;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
11;18;1;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
12;1;2;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
13;9;6;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
14;1;11;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
15;7;12;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
16;1;9;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
17;18;6;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
18;13;9;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
19;18;3;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
20;2;15;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
21;17;16;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
22;5;8;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
23;14;1;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
24;13;8;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
25;10;2;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
26;6;9;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
27;14;6;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
28;15;2;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
29;5;9;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
30;16;13;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
31;3;15;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
32;16;15;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
33;15;10;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
34;14;4;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
35;7;18;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
36;13;16;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
37;10;7;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
38;7;15;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
39;15;12;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
40;1;3;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
41;2;13;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
42;16;4;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
43;17;5;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
44;18;16;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
45;10;1;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
46;13;12;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
47;2;18;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
48;4;15;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
49;6;14;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
50;11;14;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
