index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;6;4;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
2;4;6;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
3;4;5;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
4;5;2;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
5;4;11;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
6;7;8;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
7;9;10;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
8;14;6;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
9;15;13;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
10;1;17;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
11;7;16;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
12;10;9;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
13;12;2;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
14;17;1;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
15;10;2;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
16;16;15;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
17;10;15;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
18;15;9;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
19;13;2;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
20;8;16;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
21;11;8;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
22;11;2;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
23;2;8;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
24;17;3;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
25;1;14;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
26;10;1;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
27;9;12;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
28;11;4;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
29;17;13;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
30;15;5;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
31;11;15;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
32;13;16;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
33;2;9;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
34;5;8;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
35;2;9;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
36;10;2;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
37;12;16;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
38;12;2;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
39;2;15;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
40;6;7;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
