index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;3;5;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
2;9;4;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
3;11;5;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
4;7;13;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
5;13;11;4;20000;16;3;6;50000;16;5;200;0.0005;0.0005;0.0005
6;5;4;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
7;10;14;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
8;3;8;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
9;14;12;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
10;1;7;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
11;11;5;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
12;10;3;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
13;12;9;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
14;7;1;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
15;5;8;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
16;10;8;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
17;9;2;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
18;11;2;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
19;14;3;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
20;8;5;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
21;10;6;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
22;8;12;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
23;2;3;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
24;14;11;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
25;6;11;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
26;13;11;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
27;3;6;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
28;7;11;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
29;7;12;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
30;12;2;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
31;10;7;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
32;7;4;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
33;13;4;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
34;5;7;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
35;3;14;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
36;13;9;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
37;11;14;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
38;13;5;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
39;12;3;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
40;4;10;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
