index;origin;destination;slotsC;max_cdC;osnr_limitC;slotsL;max_cdL;osnr_limitL;Gbits/s;pchC;pchL;pchS
1;9;1;3;100000;13;3;100000;13;100;0.000375;0.000375;0.000375
2;5;11;3;100000;13;3;100000;13;100;0.000375;0.000375;0.000375
3;1;2;3;40000;15;3;100000;13;100;0.000375;0.000375;0.000375
4;10;6;6;50000;16;6;50000;16;200;0.00075;0.00075;0.00075
5;12;10;3;40000;15;3;100000;13;100;0.000375;0.000375;0.000375
6;5;6;6;50000;16;6;50000;16;200;0.00075;0.00075;0.00075
7;4;11;6;50000;16;0;0;0;200;0.00075;0.00075;0.00075
8;12;1;3;100000;13;3;100000;13;100;0.000375;0.000375;0.000375
9;14;8;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
10;3;6;3;40000;15;3;100000;13;100;0.000375;0.000375;0.000375
11;13;2;3;100000;13;0;0;0;100;0.000375;0.000375;0.000375
12;7;3;3;100000;13;3;100000;13;100;0.000375;0.000375;0.000375
13;12;13;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
14;5;1;3;100000;13;3;100000;13;100;0.000375;0.000375;0.000375
15;10;1;3;100000;13;0;0;0;100;0.000375;0.000375;0.000375
16;12;13;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
17;6;4;6;40000;21;0;0;0;300;0.00075;0.00075;0.00075
18;2;6;3;100000;13;3;100000;13;100;0.000375;0.000375;0.000375
19;8;12;3;40000;15;3;100000;13;100;0.000375;0.000375;0.000375
20;1;10;3;100000;13;0;0;0;100;0.000375;0.000375;0.000375
21;10;6;6;50000;16;6;50000;16;200;0.00075;0.00075;0.00075
22;5;7;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
23;14;2;3;100000;13;0;0;0;100;0.000375;0.000375;0.000375
24;8;1;3;100000;13;3;100000;13;100;0.000375;0.000375;0.000375
25;11;2;3;100000;13;3;100000;13;100;0.000375;0.000375;0.000375
26;4;9;3;100000;13;3;100000;13;100;0.000375;0.000375;0.000375
27;4;7;6;40000;21;0;0;0;300;0.00075;0.00075;0.00075
28;14;3;3;100000;13;0;0;0;100;0.000375;0.000375;0.000375
29;3;10;3;100000;13;3;100000;13;100;0.000375;0.000375;0.000375
30;6;5;3;40000;15;3;100000;13;100;0.000375;0.000375;0.000375
31;2;8;3;100000;13;3;100000;13;100;0.000375;0.000375;0.000375
32;4;9;3;100000;13;3;100000;13;100;0.000375;0.000375;0.000375
33;6;7;3;40000;15;3;100000;13;100;0.000375;0.000375;0.000375
34;7;14;6;50000;16;6;50000;16;200;0.00075;0.00075;0.00075
35;3;13;3;100000;13;3;100000;13;100;0.000375;0.000375;0.000375
36;13;9;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
37;11;10;6;50000;16;6;50000;16;200;0.00075;0.00075;0.00075
38;10;11;3;100000;13;3;100000;13;100;0.000375;0.000375;0.000375
39;8;5;3;40000;15;3;100000;13;100;0.000375;0.000375;0.000375
40;4;9;3;100000;13;3;100000;13;100;0.000375;0.000375;0.000375
41;11;1;3;100000;13;0;0;0;100;0.000375;0.000375;0.000375
42;6;10;3;40000;15;3;100000;13;100;0.000375;0.000375;0.000375
43;6;4;3;40000;15;3;100000;13;100;0.000375;0.000375;0.000375
44;2;10;3;100000;13;3;100000;13;100;0.000375;0.000375;0.000375
45;7;2;6;50000;16;0;0;0;200;0.00075;0.00075;0.00075
46;7;11;3;100000;13;3;100000;13;100;0.000375;0.000375;0.000375
47;14;7;6;50000;16;6;50000;16;200;0.00075;0.00075;0.00075
48;8;1;3;100000;13;3;100000;13;100;0.000375;0.000375;0.000375
49;4;11;3;100000;13;3;100000;13;100;0.000375;0.000375;0.000375
50;4;8;6;50000;16;6;50000;16;200;0.00075;0.00075;0.00075
51;11;6;3;100000;13;3;100000;13;100;0.000375;0.000375;0.000375
52;8;5;6;50000;16;6;50000;16;200;0.00075;0.00075;0.00075
53;13;12;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
54;14;11;4;20000;16;4;20000;16;200;0.0005;0.0005;0.0005
55;14;4;3;100000;13;3;100000;13;100;0.000375;0.000375;0.000375
56;6;14;3;100000;13;3;100000;13;100;0.000375;0.000375;0.000375
57;6;8;3;100000;13;3;100000;13;100;0.000375;0.000375;0.000375
58;3;14;3;100000;13;0;0;0;100;0.000375;0.000375;0.000375
59;5;13;3;100000;13;3;100000;13;100;0.000375;0.000375;0.000375
60;13;9;4;20000;16;4;20000;16;200;0.0005;0.0005;0.0005
