index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;9;7;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
2;5;1;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
3;9;6;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
4;18;13;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
5;8;5;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
6;7;14;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
7;1;10;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
8;10;1;4;20000;16;3;6;50000;16;5;200;0.0005;0.0005;0.0005
9;13;5;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
10;1;15;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
11;7;13;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
12;17;7;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
13;14;4;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
14;3;16;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
15;4;1;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
16;18;6;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
17;17;14;4;20000;16;3;6;50000;16;5;200;0.0005;0.0005;0.0005
18;11;12;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
19;15;9;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
20;1;18;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
21;16;7;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
22;3;5;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
23;4;10;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
24;12;1;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
25;16;2;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
26;3;16;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
27;9;3;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
28;5;8;4;20000;16;3;6;50000;16;5;200;0.0005;0.0005;0.0005
29;8;7;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
30;18;16;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
31;9;6;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
32;17;15;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
33;5;6;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
34;8;5;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
35;18;8;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
