index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;13;11;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
2;6;17;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
3;4;1;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
4;16;9;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
5;10;1;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
6;12;8;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
7;8;7;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
8;14;4;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
9;8;16;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
10;17;2;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
11;9;8;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
12;6;11;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
13;2;17;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
14;11;9;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
15;2;7;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
16;12;6;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
17;9;16;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
18;9;13;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
19;12;2;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
20;13;17;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
21;11;17;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
22;15;2;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
23;7;12;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
24;9;16;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
25;14;13;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
26;3;5;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
27;4;1;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
28;1;14;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
29;3;4;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
30;4;9;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
31;2;15;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
32;2;14;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
33;3;13;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
34;17;3;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
35;14;11;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
36;10;1;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
37;4;3;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
38;10;3;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
39;17;9;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
40;6;2;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
41;8;10;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
42;11;14;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
43;13;2;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
44;5;4;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
45;12;6;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
46;13;5;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
47;3;1;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
48;11;10;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
49;7;10;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
50;5;13;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
51;3;15;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
52;15;12;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
53;1;3;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
54;10;2;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
55;12;2;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
56;9;16;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
57;17;5;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
58;14;1;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
59;8;16;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
60;3;17;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
61;16;15;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
62;15;1;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
63;10;7;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
64;8;7;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
65;11;5;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
