index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;1;7;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
2;11;14;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
3;14;4;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
4;3;4;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
5;9;14;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
6;9;12;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
7;1;3;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
8;10;5;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
9;2;7;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
10;8;7;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
11;8;10;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
12;11;7;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
13;12;2;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
14;8;14;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
15;13;6;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
16;9;13;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
17;3;4;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
18;7;1;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
19;13;3;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
20;10;12;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
21;13;4;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
22;8;7;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
23;3;4;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
24;14;8;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
25;11;9;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
26;6;14;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
27;6;1;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
28;8;11;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
29;10;2;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
30;1;3;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
31;10;1;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
32;13;9;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
33;6;9;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
34;4;10;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
35;14;1;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
36;14;3;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
37;1;10;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
38;7;5;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
39;14;10;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
40;8;11;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
41;10;7;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
42;6;4;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
43;10;7;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
44;12;5;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
45;11;2;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
46;11;13;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
47;8;10;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
48;13;4;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
49;3;8;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
50;9;6;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
51;1;14;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
52;13;1;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
53;8;14;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
54;6;1;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
55;14;3;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
56;9;3;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
57;13;12;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
58;10;13;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
59;6;13;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
60;5;11;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
