index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;3;6;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
2;2;3;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
3;6;9;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
4;12;10;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
5;2;1;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
6;4;12;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
7;8;4;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
8;9;18;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
9;10;1;4;20000;16;3;6;50000;16;5;200;0.0005;0.0005;0.0005
10;10;5;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
11;18;15;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
12;2;14;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
13;18;17;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
14;11;15;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
15;18;3;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
16;18;4;4;20000;16;3;6;50000;16;5;200;0.0005;0.0005;0.0005
17;14;15;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
18;13;9;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
19;10;6;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
20;16;14;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
21;9;5;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
22;15;17;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
23;11;6;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
24;11;7;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
25;7;8;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
26;6;8;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
27;1;5;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
28;18;16;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
29;6;14;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
30;4;11;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
