index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;11;6;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
2;9;8;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
3;6;4;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
4;3;7;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
5;5;6;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
6;13;8;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
7;12;8;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
8;1;12;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
9;1;13;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
10;5;1;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
11;4;2;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
12;11;5;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
13;10;1;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
14;9;4;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
15;13;5;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
16;13;7;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
17;9;13;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
18;3;8;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
19;6;10;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
20;7;3;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
21;10;6;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
22;5;2;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
23;1;9;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
24;4;2;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
25;13;6;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
26;3;7;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
27;2;11;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
28;5;12;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
29;2;3;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
30;13;2;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
31;4;13;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
32;11;12;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
33;3;10;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
34;10;14;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
35;13;2;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
36;1;6;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
37;1;7;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
38;8;11;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
39;2;13;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
40;7;6;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
41;2;12;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
42;9;11;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
43;6;9;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
44;4;7;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
45;12;1;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
46;2;11;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
47;13;14;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
48;9;3;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
49;1;12;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
50;13;2;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
51;5;2;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
52;2;9;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
53;9;13;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
54;6;13;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
55;1;2;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
56;2;4;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
57;9;2;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
58;8;11;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
59;6;7;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
60;5;10;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
