index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;2;10;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
2;3;14;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
3;14;5;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
4;7;6;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
5;6;10;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
6;1;4;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
7;9;7;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
8;12;3;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
9;6;5;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
10;8;5;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
11;11;8;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
12;14;5;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
13;3;14;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
14;4;9;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
15;7;3;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
16;9;3;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
17;12;13;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
18;7;10;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
19;14;6;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
20;12;3;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
