index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;11;1;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
2;13;15;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
3;3;2;4;20000;16;3;6;50000;16;5;200;0.0005;0.0005;0.0005
4;18;16;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
5;5;8;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
6;7;6;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
7;1;4;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
8;2;10;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
9;9;17;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
10;10;9;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
11;10;1;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
12;13;4;4;20000;16;3;6;50000;16;5;200;0.0005;0.0005;0.0005
13;5;10;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
14;18;13;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
15;8;17;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
16;9;6;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
17;9;17;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
18;15;16;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
19;15;18;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
20;1;14;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
21;7;13;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
22;2;5;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
23;16;12;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
24;5;11;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
25;14;11;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
26;14;2;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
27;15;8;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
28;6;3;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
29;11;7;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
30;9;10;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
31;18;16;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
32;12;7;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
33;2;12;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
34;3;2;4;20000;16;3;6;50000;16;5;200;0.0005;0.0005;0.0005
35;15;13;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
36;15;16;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
37;6;13;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
38;4;6;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
39;1;12;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
40;14;11;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
