index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;16;14;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
2;11;14;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
3;6;15;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
4;4;16;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
5;8;10;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
6;5;11;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
7;1;3;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
8;12;6;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
9;13;15;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
10;4;2;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
11;13;11;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
12;17;2;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
13;6;8;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
14;13;16;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
15;15;16;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
16;15;16;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
17;4;3;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
18;4;1;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
19;2;1;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
20;7;10;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
21;13;9;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
22;13;5;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
23;10;11;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
24;3;8;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
25;12;13;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
26;10;11;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
27;17;2;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
28;9;3;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
29;3;14;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
30;16;9;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
31;3;9;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
32;10;14;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
33;11;4;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
34;2;11;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
35;15;1;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
36;16;1;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
37;16;15;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
38;1;2;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
39;6;8;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
40;5;16;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
41;10;13;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
42;16;1;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
43;4;16;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
44;7;9;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
45;6;11;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
46;16;9;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
47;6;16;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
48;9;4;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
49;3;13;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
50;1;16;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
51;17;13;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
52;16;8;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
53;11;8;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
54;1;10;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
55;3;8;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
56;2;8;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
57;1;14;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
58;8;4;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
59;5;16;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
60;1;3;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
61;5;15;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
62;15;17;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
63;8;17;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
64;8;7;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
65;11;7;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
66;7;11;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
67;11;4;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
68;3;2;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
69;6;13;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
70;1;12;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
71;4;14;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
72;2;16;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
73;6;9;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
74;10;13;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
75;8;11;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
76;15;9;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
77;11;17;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
78;16;7;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
79;14;10;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
80;10;5;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
81;15;11;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
82;3;6;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
83;5;16;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
84;7;3;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
85;8;14;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
86;1;16;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
87;13;1;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
88;4;1;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
89;1;8;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
