index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;3;13;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
2;9;11;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
3;5;3;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
4;8;6;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
5;6;2;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
6;9;15;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
7;6;7;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
8;17;8;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
9;4;8;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
10;16;14;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
11;4;3;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
12;15;16;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
13;15;16;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
14;8;11;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
15;1;5;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
16;14;2;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
17;17;1;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
18;10;5;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
19;17;7;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
20;13;15;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
21;8;7;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
22;4;10;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
23;9;2;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
24;10;13;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
25;8;14;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
26;3;11;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
27;6;15;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
28;10;14;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
29;1;9;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
30;17;8;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
31;7;14;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
32;6;15;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
33;17;5;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
34;14;2;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
35;9;17;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
36;4;8;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
37;15;17;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
38;13;12;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
39;4;11;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
40;14;7;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
