index;origin;destination;slotsC;max_cdC;osnr_limitC;slotsL;max_cdL;osnr_limitL;Gbits/s;pchC;pchL;pchS
1;2;6;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
2;6;3;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
3;6;1;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
4;3;5;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
5;1;3;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
6;5;4;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
7;6;5;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
8;3;2;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
9;5;1;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
10;2;5;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
11;5;1;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
12;1;3;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
13;5;6;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
14;6;3;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
15;5;4;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
16;3;2;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
17;3;1;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
18;3;5;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
19;5;3;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
20;1;2;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
21;5;4;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
22;5;4;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
23;2;6;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
24;5;6;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
25;3;6;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
26;4;5;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
27;3;5;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
28;4;6;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
29;3;5;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
30;5;2;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
31;4;2;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
32;5;1;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
33;1;4;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
34;4;2;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
35;4;1;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
36;3;4;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
37;2;4;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
38;1;2;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
39;2;6;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
40;2;4;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
41;1;4;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
42;3;4;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
43;4;1;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
44;5;4;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
45;2;5;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
46;6;5;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
47;4;5;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
48;3;1;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
49;3;2;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
50;3;6;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
