index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS
1;8;11;6;1000;24;0.00075;0.00075;0.00075
2;5;8;6;1000;24;0.00075;0.00075;0.00075
3;9;4;6;1000;24;0.00075;0.00075;0.00075
4;4;1;6;1000;24;0.00075;0.00075;0.00075
5;4;8;6;1000;24;0.00075;0.00075;0.00075
6;5;4;6;1000;24;0.00075;0.00075;0.00075
7;8;3;6;1000;24;0.00075;0.00075;0.00075
8;8;5;6;1000;24;0.00075;0.00075;0.00075
9;3;2;6;1000;24;0.00075;0.00075;0.00075
10;10;8;6;1000;24;0.00075;0.00075;0.00075
11;7;1;6;1000;24;0.00075;0.00075;0.00075
12;1;10;6;1000;24;0.00075;0.00075;0.00075
13;2;10;6;1000;24;0.00075;0.00075;0.00075
14;2;11;6;1000;24;0.00075;0.00075;0.00075
15;9;12;6;1000;24;0.00075;0.00075;0.00075
16;2;5;6;1000;24;0.00075;0.00075;0.00075
17;4;10;6;1000;24;0.00075;0.00075;0.00075
18;4;6;6;1000;24;0.00075;0.00075;0.00075
19;6;10;6;1000;24;0.00075;0.00075;0.00075
20;5;8;6;1000;24;0.00075;0.00075;0.00075
21;10;3;6;1000;24;0.00075;0.00075;0.00075
22;8;7;6;1000;24;0.00075;0.00075;0.00075
23;12;7;6;1000;24;0.00075;0.00075;0.00075
24;6;5;6;1000;24;0.00075;0.00075;0.00075
25;11;7;6;1000;24;0.00075;0.00075;0.00075
26;11;4;6;1000;24;0.00075;0.00075;0.00075
27;2;1;6;1000;24;0.00075;0.00075;0.00075
28;1;12;6;1000;24;0.00075;0.00075;0.00075
29;8;10;6;1000;24;0.00075;0.00075;0.00075
30;7;3;6;1000;24;0.00075;0.00075;0.00075
31;12;9;6;1000;24;0.00075;0.00075;0.00075
32;3;5;6;1000;24;0.00075;0.00075;0.00075
33;9;3;6;1000;24;0.00075;0.00075;0.00075
34;2;5;6;1000;24;0.00075;0.00075;0.00075
35;8;3;6;1000;24;0.00075;0.00075;0.00075
36;12;2;6;1000;24;0.00075;0.00075;0.00075
37;4;6;6;1000;24;0.00075;0.00075;0.00075
38;8;12;6;1000;24;0.00075;0.00075;0.00075
39;12;7;6;1000;24;0.00075;0.00075;0.00075
40;3;10;6;1000;24;0.00075;0.00075;0.00075
41;5;1;6;1000;24;0.00075;0.00075;0.00075
42;8;6;6;1000;24;0.00075;0.00075;0.00075
43;12;6;6;1000;24;0.00075;0.00075;0.00075
44;1;9;6;1000;24;0.00075;0.00075;0.00075
45;10;8;6;1000;24;0.00075;0.00075;0.00075
46;7;1;6;1000;24;0.00075;0.00075;0.00075
47;11;2;6;1000;24;0.00075;0.00075;0.00075
48;10;9;6;1000;24;0.00075;0.00075;0.00075
49;1;3;6;1000;24;0.00075;0.00075;0.00075
50;12;2;6;1000;24;0.00075;0.00075;0.00075
