index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS
1;11;1;6;2000;21;0.00075;0.00075;0.00075
2;8;3;6;2000;21;0.00075;0.00075;0.00075
3;11;14;3;5000;13;0.000375;0.000375;0.000375
4;13;1;6;2500;16;0.00075;0.00075;0.00075
5;16;12;6;2000;21;0.00075;0.00075;0.00075
6;11;17;6;2500;16;0.00075;0.00075;0.00075
7;18;7;6;2500;16;0.00075;0.00075;0.00075
8;5;10;6;1000;24;0.00075;0.00075;0.00075
9;15;11;6;2500;16;0.00075;0.00075;0.00075
10;15;7;6;2000;21;0.00075;0.00075;0.00075
11;8;15;6;1000;24;0.00075;0.00075;0.00075
12;2;12;6;2000;21;0.00075;0.00075;0.00075
13;14;2;6;2500;16;0.00075;0.00075;0.00075
14;11;10;6;2000;21;0.00075;0.00075;0.00075
15;10;8;6;2000;21;0.00075;0.00075;0.00075
16;1;13;6;2500;16;0.00075;0.00075;0.00075
17;9;13;6;2000;21;0.00075;0.00075;0.00075
18;6;16;6;2000;21;0.00075;0.00075;0.00075
19;5;15;6;2000;21;0.00075;0.00075;0.00075
20;16;6;6;2000;21;0.00075;0.00075;0.00075
