index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS
1;7;5;6;2000;21;0.00075;0.00075;0.00075
2;16;4;6;1000;24;0.00075;0.00075;0.00075
3;15;3;6;2000;21;0.00075;0.00075;0.00075
4;3;14;6;2500;16;0.00075;0.00075;0.00075
5;10;6;6;2000;21;0.00075;0.00075;0.00075
6;6;2;6;2000;21;0.00075;0.00075;0.00075
7;18;3;6;1000;24;0.00075;0.00075;0.00075
8;5;8;6;2000;21;0.00075;0.00075;0.00075
9;16;7;6;1000;24;0.00075;0.00075;0.00075
10;2;1;6;2000;21;0.00075;0.00075;0.00075
11;14;17;6;2000;21;0.00075;0.00075;0.00075
12;13;8;6;2000;21;0.00075;0.00075;0.00075
13;11;10;6;2000;21;0.00075;0.00075;0.00075
14;8;4;6;2000;21;0.00075;0.00075;0.00075
15;5;18;6;1000;24;0.00075;0.00075;0.00075
16;4;5;6;2000;21;0.00075;0.00075;0.00075
17;18;16;6;2000;21;0.00075;0.00075;0.00075
18;14;6;3;5000;13;0.000375;0.000375;0.000375
19;6;3;6;1000;24;0.00075;0.00075;0.00075
20;9;8;6;1000;24;0.00075;0.00075;0.00075
21;17;5;6;2000;21;0.00075;0.00075;0.00075
22;4;15;6;1000;24;0.00075;0.00075;0.00075
23;11;5;6;2000;21;0.00075;0.00075;0.00075
24;8;9;6;1000;24;0.00075;0.00075;0.00075
25;11;12;3;5000;13;0.000375;0.000375;0.000375
26;8;7;6;2500;16;0.00075;0.00075;0.00075
27;14;2;6;2500;16;0.00075;0.00075;0.00075
28;2;3;6;2000;21;0.00075;0.00075;0.00075
29;14;9;6;2500;16;0.00075;0.00075;0.00075
30;15;11;6;2500;16;0.00075;0.00075;0.00075
31;17;5;6;2000;21;0.00075;0.00075;0.00075
32;7;15;6;2000;21;0.00075;0.00075;0.00075
33;5;4;6;2000;21;0.00075;0.00075;0.00075
34;1;14;6;2000;21;0.00075;0.00075;0.00075
35;18;13;6;2500;16;0.00075;0.00075;0.00075
36;18;6;6;2000;21;0.00075;0.00075;0.00075
37;7;8;6;2500;16;0.00075;0.00075;0.00075
38;15;1;6;1000;24;0.00075;0.00075;0.00075
39;7;14;3;5000;13;0.000375;0.000375;0.000375
40;2;16;6;1000;24;0.00075;0.00075;0.00075
41;10;7;6;2000;21;0.00075;0.00075;0.00075
42;3;18;6;1000;24;0.00075;0.00075;0.00075
43;18;3;6;1000;24;0.00075;0.00075;0.00075
44;4;17;6;2000;21;0.00075;0.00075;0.00075
45;10;15;6;2000;21;0.00075;0.00075;0.00075
46;4;18;6;2000;21;0.00075;0.00075;0.00075
47;15;11;6;2500;16;0.00075;0.00075;0.00075
48;2;17;6;2000;21;0.00075;0.00075;0.00075
49;14;17;6;2000;21;0.00075;0.00075;0.00075
50;7;18;6;2500;16;0.00075;0.00075;0.00075
