index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS
1;3;15;6;2000;21;0.00075;0.00075;0.00075
2;14;10;6;2000;21;0.00075;0.00075;0.00075
3;14;11;6;1000;24;0.00075;0.00075;0.00075
4;7;15;6;2000;21;0.00075;0.00075;0.00075
5;16;15;6;1000;24;0.00075;0.00075;0.00075
6;6;9;6;1000;24;0.00075;0.00075;0.00075
7;4;5;6;1000;24;0.00075;0.00075;0.00075
8;16;3;6;2000;21;0.00075;0.00075;0.00075
9;4;7;6;2000;21;0.00075;0.00075;0.00075
10;6;12;6;2000;21;0.00075;0.00075;0.00075
11;17;1;6;2000;21;0.00075;0.00075;0.00075
12;17;6;6;2000;21;0.00075;0.00075;0.00075
13;7;16;6;2000;21;0.00075;0.00075;0.00075
14;15;3;6;2000;21;0.00075;0.00075;0.00075
15;1;13;6;2000;21;0.00075;0.00075;0.00075
16;12;17;6;2000;21;0.00075;0.00075;0.00075
17;9;13;6;2000;21;0.00075;0.00075;0.00075
18;7;13;6;1000;24;0.00075;0.00075;0.00075
19;3;11;6;1000;24;0.00075;0.00075;0.00075
20;8;12;6;1000;24;0.00075;0.00075;0.00075
