index;origin;destination;slotsC;max_cdC;osnr_limitC;slotsL;max_cdL;osnr_limitL;Gbits/s;pchC;pchL;pchS
1;2;4;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
2;2;11;6;20000;24;0;0;0;400;0.00075;0.00075;0.00075
3;2;17;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
4;4;11;6;20000;24;0;0;0;400;0.00075;0.00075;0.00075
5;4;17;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
6;11;17;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
7;1;4;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
8;1;2;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
9;1;17;6;40000;21;0;0;0;300;0.00075;0.00075;0.00075
10;3;17;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
11;2;3;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
12;3;11;6;20000;24;0;0;0;400;0.00075;0.00075;0.00075
13;2;5;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
14;4;5;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
15;5;17;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
16;6;11;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
17;6;17;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
18;4;6;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
19;2;7;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
20;7;17;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
21;7;11;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
22;2;8;6;20000;24;0;0;0;400;0.00075;0.00075;0.00075
23;8;17;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
24;8;11;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
25;9;17;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
26;9;11;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
27;4;9;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
28;10;11;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
29;4;10;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
30;2;10;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
31;12;17;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
32;4;12;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
33;2;12;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
34;2;13;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
35;4;13;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
36;11;13;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
37;4;14;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
38;14;17;6;20000;24;0;0;0;400;0.00075;0.00075;0.00075
39;11;14;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
40;15;17;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
41;4;15;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
42;2;15;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
43;11;16;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
44;4;16;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
45;2;16;6;40000;21;0;0;0;300;0.00075;0.00075;0.00075
