index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS
1;11;10;6;2500;16;0.00075;0.00075;0.00075
2;13;12;6;1000;24;0.00075;0.00075;0.00075
3;1;13;3;5000;13;0.000375;0.000375;0.000375
4;12;6;6;2500;16;0.00075;0.00075;0.00075
5;5;10;6;2500;16;0.00075;0.00075;0.00075
6;3;7;3;5000;13;0.000375;0.000375;0.000375
7;9;5;6;2500;16;0.00075;0.00075;0.00075
8;4;2;6;2000;21;0.00075;0.00075;0.00075
9;1;2;6;2000;21;0.00075;0.00075;0.00075
10;4;1;6;2500;16;0.00075;0.00075;0.00075
11;8;12;6;2000;21;0.00075;0.00075;0.00075
12;3;13;3;5000;13;0.000375;0.000375;0.000375
13;4;1;6;2500;16;0.00075;0.00075;0.00075
14;11;12;6;2000;21;0.00075;0.00075;0.00075
15;7;1;3;5000;13;0.000375;0.000375;0.000375
16;13;10;6;2500;16;0.00075;0.00075;0.00075
17;9;3;3;5000;13;0.000375;0.000375;0.000375
18;1;5;3;5000;13;0.000375;0.000375;0.000375
19;3;12;3;5000;13;0.000375;0.000375;0.000375
20;8;14;6;2000;21;0.00075;0.00075;0.00075
21;13;7;6;2500;16;0.00075;0.00075;0.00075
22;9;7;6;2000;21;0.00075;0.00075;0.00075
23;8;5;6;2000;21;0.00075;0.00075;0.00075
24;3;5;6;2500;16;0.00075;0.00075;0.00075
25;12;4;3;5000;13;0.000375;0.000375;0.000375
26;3;4;6;2000;21;0.00075;0.00075;0.00075
27;1;6;3;5000;13;0.000375;0.000375;0.000375
28;14;7;6;2500;16;0.00075;0.00075;0.00075
29;10;4;3;5000;13;0.000375;0.000375;0.000375
30;14;3;3;5000;13;0.000375;0.000375;0.000375
31;1;13;3;5000;13;0.000375;0.000375;0.000375
32;8;3;3;5000;13;0.000375;0.000375;0.000375
33;9;10;6;2000;21;0.00075;0.00075;0.00075
34;5;11;3;5000;13;0.000375;0.000375;0.000375
35;5;6;6;2000;21;0.00075;0.00075;0.00075
36;6;1;3;5000;13;0.000375;0.000375;0.000375
37;8;14;6;2000;21;0.00075;0.00075;0.00075
38;11;5;3;5000;13;0.000375;0.000375;0.000375
39;5;4;6;1000;24;0.00075;0.00075;0.00075
40;13;1;3;5000;13;0.000375;0.000375;0.000375
41;14;6;6;2500;16;0.00075;0.00075;0.00075
42;12;9;6;1000;24;0.00075;0.00075;0.00075
43;3;10;3;5000;13;0.000375;0.000375;0.000375
44;13;3;3;5000;13;0.000375;0.000375;0.000375
45;11;7;3;5000;13;0.000375;0.000375;0.000375
46;13;14;6;1000;24;0.00075;0.00075;0.00075
47;13;2;3;5000;13;0.000375;0.000375;0.000375
48;6;13;6;2500;16;0.00075;0.00075;0.00075
49;9;6;6;2500;16;0.00075;0.00075;0.00075
50;6;12;6;2500;16;0.00075;0.00075;0.00075
