index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS
1;11;18;6;1000;24;0.00075;0.00075;0.00075
2;26;24;6;1000;24;0.00075;0.00075;0.00075
3;9;13;6;1000;24;0.00075;0.00075;0.00075
4;10;18;6;1000;24;0.00075;0.00075;0.00075
5;15;12;6;1000;24;0.00075;0.00075;0.00075
6;6;7;6;1000;24;0.00075;0.00075;0.00075
7;29;12;6;2000;21;0.00075;0.00075;0.00075
8;7;28;6;1000;24;0.00075;0.00075;0.00075
9;15;13;6;1000;24;0.00075;0.00075;0.00075
10;7;21;6;1000;24;0.00075;0.00075;0.00075
11;1;10;6;1000;24;0.00075;0.00075;0.00075
12;17;27;6;2000;21;0.00075;0.00075;0.00075
13;27;23;6;1000;24;0.00075;0.00075;0.00075
14;20;5;6;1000;24;0.00075;0.00075;0.00075
15;6;26;6;2000;21;0.00075;0.00075;0.00075
16;15;2;6;2000;21;0.00075;0.00075;0.00075
17;28;18;6;2000;21;0.00075;0.00075;0.00075
18;18;5;6;1000;24;0.00075;0.00075;0.00075
19;30;13;6;2000;21;0.00075;0.00075;0.00075
20;26;8;6;1000;24;0.00075;0.00075;0.00075
21;21;8;6;1000;24;0.00075;0.00075;0.00075
22;9;23;6;2000;21;0.00075;0.00075;0.00075
23;9;25;6;1000;24;0.00075;0.00075;0.00075
24;10;25;6;1000;24;0.00075;0.00075;0.00075
25;1;21;6;2000;21;0.00075;0.00075;0.00075
26;29;28;6;1000;24;0.00075;0.00075;0.00075
27;28;22;6;1000;24;0.00075;0.00075;0.00075
28;12;4;6;1000;24;0.00075;0.00075;0.00075
29;27;11;6;2000;21;0.00075;0.00075;0.00075
30;27;5;6;1000;24;0.00075;0.00075;0.00075
31;29;7;6;1000;24;0.00075;0.00075;0.00075
32;3;15;6;2000;21;0.00075;0.00075;0.00075
33;22;9;6;2000;21;0.00075;0.00075;0.00075
34;6;19;6;1000;24;0.00075;0.00075;0.00075
35;12;19;6;2000;21;0.00075;0.00075;0.00075
36;12;30;6;2000;21;0.00075;0.00075;0.00075
37;10;14;6;1000;24;0.00075;0.00075;0.00075
38;20;10;6;1000;24;0.00075;0.00075;0.00075
39;13;5;6;2000;21;0.00075;0.00075;0.00075
40;16;4;6;1000;24;0.00075;0.00075;0.00075
41;21;3;6;2000;21;0.00075;0.00075;0.00075
42;16;3;6;1000;24;0.00075;0.00075;0.00075
43;27;20;6;2000;21;0.00075;0.00075;0.00075
44;21;5;6;2000;21;0.00075;0.00075;0.00075
45;25;22;6;1000;24;0.00075;0.00075;0.00075
46;25;10;6;1000;24;0.00075;0.00075;0.00075
47;17;2;6;2000;21;0.00075;0.00075;0.00075
48;25;29;6;1000;24;0.00075;0.00075;0.00075
49;13;5;6;2000;21;0.00075;0.00075;0.00075
50;9;25;6;1000;24;0.00075;0.00075;0.00075
