index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS
1;4;6;3;500;22;0.000375;0.000375;0.000375
2;1;4;4;1000;16;0.0005;0.0005;0.0005
3;2;6;4;1000;16;0.0005;0.0005;0.0005
4;4;2;4;1000;16;0.0005;0.0005;0.0005
5;3;6;4;1000;16;0.0005;0.0005;0.0005
6;6;5;3;500;22;0.000375;0.000375;0.000375
7;2;4;4;1000;16;0.0005;0.0005;0.0005
8;3;4;3;500;22;0.000375;0.000375;0.000375
9;2;6;4;1000;16;0.0005;0.0005;0.0005
10;1;2;3;500;22;0.000375;0.000375;0.000375
11;3;4;3;500;22;0.000375;0.000375;0.000375
12;2;5;4;1000;16;0.0005;0.0005;0.0005
13;5;4;3;500;22;0.000375;0.000375;0.000375
14;3;2;3;500;22;0.000375;0.000375;0.000375
15;2;6;4;1000;16;0.0005;0.0005;0.0005
16;1;6;3;5000;13;0.000375;0.000375;0.000375
17;1;6;3;5000;13;0.000375;0.000375;0.000375
18;4;1;4;1000;16;0.0005;0.0005;0.0005
19;2;3;3;500;22;0.000375;0.000375;0.000375
20;2;1;3;500;22;0.000375;0.000375;0.000375
21;6;2;4;1000;16;0.0005;0.0005;0.0005
22;4;2;4;1000;16;0.0005;0.0005;0.0005
23;3;4;3;500;22;0.000375;0.000375;0.000375
24;3;4;3;500;22;0.000375;0.000375;0.000375
25;2;4;4;1000;16;0.0005;0.0005;0.0005
26;2;5;4;1000;16;0.0005;0.0005;0.0005
27;4;6;3;500;22;0.000375;0.000375;0.000375
28;3;5;3;500;22;0.000375;0.000375;0.000375
29;6;2;4;1000;16;0.0005;0.0005;0.0005
30;2;6;4;1000;16;0.0005;0.0005;0.0005
