index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS
1;6;10;3;5000;13;0.000375;0.000375;0.000375
2;16;17;3;5000;13;0.000375;0.000375;0.000375
3;11;2;3;5000;13;0.000375;0.000375;0.000375
4;15;5;4;1000;16;0.0005;0.0005;0.0005
5;18;6;3;5000;13;0.000375;0.000375;0.000375
6;17;11;3;5000;13;0.000375;0.000375;0.000375
7;8;16;3;5000;13;0.000375;0.000375;0.000375
8;3;6;4;1000;16;0.0005;0.0005;0.0005
9;17;1;3;500;22;0.000375;0.000375;0.000375
10;6;4;3;5000;13;0.000375;0.000375;0.000375
11;5;4;4;1000;16;0.0005;0.0005;0.0005
12;1;12;3;5000;13;0.000375;0.000375;0.000375
13;15;2;4;1000;16;0.0005;0.0005;0.0005
14;17;4;3;5000;13;0.000375;0.000375;0.000375
15;4;14;3;5000;13;0.000375;0.000375;0.000375
16;2;9;3;500;22;0.000375;0.000375;0.000375
17;9;3;4;1000;16;0.0005;0.0005;0.0005
18;8;12;3;5000;13;0.000375;0.000375;0.000375
19;4;12;3;5000;13;0.000375;0.000375;0.000375
20;2;16;3;500;22;0.000375;0.000375;0.000375
