index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS
1;5;4;4;1000;16;0.0005;0.0005;0.0005
2;1;8;4;1000;16;0.0005;0.0005;0.0005
3;4;14;3;5000;13;0.000375;0.000375;0.000375
4;15;8;3;500;22;0.000375;0.000375;0.000375
5;16;18;3;5000;13;0.000375;0.000375;0.000375
6;6;12;3;5000;13;0.000375;0.000375;0.000375
7;10;7;4;1000;16;0.0005;0.0005;0.0005
8;2;17;3;5000;13;0.000375;0.000375;0.000375
9;9;5;4;1000;16;0.0005;0.0005;0.0005
10;6;8;3;5000;13;0.000375;0.000375;0.000375
11;12;8;3;5000;13;0.000375;0.000375;0.000375
12;15;4;4;1000;16;0.0005;0.0005;0.0005
13;9;10;3;500;22;0.000375;0.000375;0.000375
14;16;12;3;5000;13;0.000375;0.000375;0.000375
15;2;15;4;1000;16;0.0005;0.0005;0.0005
16;5;14;3;5000;13;0.000375;0.000375;0.000375
17;13;3;3;5000;13;0.000375;0.000375;0.000375
18;17;12;3;5000;13;0.000375;0.000375;0.000375
19;1;7;3;5000;13;0.000375;0.000375;0.000375
20;1;7;3;5000;13;0.000375;0.000375;0.000375
21;2;7;4;1000;16;0.0005;0.0005;0.0005
22;8;16;3;5000;13;0.000375;0.000375;0.000375
23;9;3;4;1000;16;0.0005;0.0005;0.0005
24;5;16;4;1000;16;0.0005;0.0005;0.0005
25;5;3;3;500;22;0.000375;0.000375;0.000375
26;5;9;4;1000;16;0.0005;0.0005;0.0005
27;12;9;3;5000;13;0.000375;0.000375;0.000375
28;10;6;3;5000;13;0.000375;0.000375;0.000375
29;5;1;4;1000;16;0.0005;0.0005;0.0005
30;18;17;4;1000;16;0.0005;0.0005;0.0005
31;12;11;3;5000;13;0.000375;0.000375;0.000375
32;7;13;3;5000;13;0.000375;0.000375;0.000375
33;13;10;3;5000;13;0.000375;0.000375;0.000375
34;4;18;3;5000;13;0.000375;0.000375;0.000375
35;9;14;3;5000;13;0.000375;0.000375;0.000375
36;16;6;3;5000;13;0.000375;0.000375;0.000375
37;2;11;3;5000;13;0.000375;0.000375;0.000375
38;14;5;3;5000;13;0.000375;0.000375;0.000375
39;16;3;3;5000;13;0.000375;0.000375;0.000375
40;2;11;3;5000;13;0.000375;0.000375;0.000375
41;6;16;3;5000;13;0.000375;0.000375;0.000375
42;2;7;4;1000;16;0.0005;0.0005;0.0005
43;13;7;3;5000;13;0.000375;0.000375;0.000375
44;17;12;3;5000;13;0.000375;0.000375;0.000375
45;6;3;4;1000;16;0.0005;0.0005;0.0005
46;13;16;3;5000;13;0.000375;0.000375;0.000375
47;8;10;4;1000;16;0.0005;0.0005;0.0005
48;5;11;4;1000;16;0.0005;0.0005;0.0005
49;13;3;3;5000;13;0.000375;0.000375;0.000375
50;17;5;4;1000;16;0.0005;0.0005;0.0005
51;16;4;3;500;22;0.000375;0.000375;0.000375
52;1;10;3;5000;13;0.000375;0.000375;0.000375
53;15;2;4;1000;16;0.0005;0.0005;0.0005
54;7;13;3;5000;13;0.000375;0.000375;0.000375
55;10;1;3;5000;13;0.000375;0.000375;0.000375
56;2;6;3;5000;13;0.000375;0.000375;0.000375
57;4;14;3;5000;13;0.000375;0.000375;0.000375
58;8;13;3;5000;13;0.000375;0.000375;0.000375
59;14;4;3;5000;13;0.000375;0.000375;0.000375
60;6;16;3;5000;13;0.000375;0.000375;0.000375
