index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS
1;6;12;3;5000;13;0.000375;0.000375;0.000375
2;4;13;3;5000;13;0.000375;0.000375;0.000375
3;18;9;4;1000;16;0.0005;0.0005;0.0005
4;13;5;3;5000;13;0.000375;0.000375;0.000375
5;14;10;3;5000;13;0.000375;0.000375;0.000375
6;10;13;3;5000;13;0.000375;0.000375;0.000375
7;6;3;4;1000;16;0.0005;0.0005;0.0005
8;13;1;3;5000;13;0.000375;0.000375;0.000375
9;10;15;4;1000;16;0.0005;0.0005;0.0005
10;7;12;3;5000;13;0.000375;0.000375;0.000375
11;16;3;3;5000;13;0.000375;0.000375;0.000375
12;8;12;3;5000;13;0.000375;0.000375;0.000375
13;18;10;4;1000;16;0.0005;0.0005;0.0005
14;7;14;3;5000;13;0.000375;0.000375;0.000375
15;5;6;4;1000;16;0.0005;0.0005;0.0005
16;6;15;3;5000;13;0.000375;0.000375;0.000375
17;18;1;3;500;22;0.000375;0.000375;0.000375
18;12;13;4;1000;16;0.0005;0.0005;0.0005
19;13;12;4;1000;16;0.0005;0.0005;0.0005
20;1;16;3;5000;13;0.000375;0.000375;0.000375
21;10;12;3;5000;13;0.000375;0.000375;0.000375
22;16;10;3;500;22;0.000375;0.000375;0.000375
23;15;2;4;1000;16;0.0005;0.0005;0.0005
24;4;13;3;5000;13;0.000375;0.000375;0.000375
25;2;10;3;500;22;0.000375;0.000375;0.000375
26;6;10;3;5000;13;0.000375;0.000375;0.000375
27;8;17;4;1000;16;0.0005;0.0005;0.0005
28;16;11;3;5000;13;0.000375;0.000375;0.000375
29;6;17;3;5000;13;0.000375;0.000375;0.000375
30;14;11;3;5000;13;0.000375;0.000375;0.000375
31;11;9;3;5000;13;0.000375;0.000375;0.000375
32;10;5;4;1000;16;0.0005;0.0005;0.0005
33;13;5;3;5000;13;0.000375;0.000375;0.000375
34;5;18;3;500;22;0.000375;0.000375;0.000375
35;15;18;4;1000;16;0.0005;0.0005;0.0005
36;1;18;3;500;22;0.000375;0.000375;0.000375
37;10;8;4;1000;16;0.0005;0.0005;0.0005
38;3;13;3;5000;13;0.000375;0.000375;0.000375
39;3;4;3;5000;13;0.000375;0.000375;0.000375
40;9;5;4;1000;16;0.0005;0.0005;0.0005
41;10;5;4;1000;16;0.0005;0.0005;0.0005
42;2;6;3;5000;13;0.000375;0.000375;0.000375
43;11;7;3;5000;13;0.000375;0.000375;0.000375
44;7;18;3;5000;13;0.000375;0.000375;0.000375
45;3;4;3;5000;13;0.000375;0.000375;0.000375
46;11;16;3;5000;13;0.000375;0.000375;0.000375
47;15;1;4;1000;16;0.0005;0.0005;0.0005
48;8;16;3;5000;13;0.000375;0.000375;0.000375
49;3;16;3;5000;13;0.000375;0.000375;0.000375
50;7;3;3;5000;13;0.000375;0.000375;0.000375
51;16;13;3;5000;13;0.000375;0.000375;0.000375
52;2;3;3;5000;13;0.000375;0.000375;0.000375
53;6;2;3;5000;13;0.000375;0.000375;0.000375
54;1;13;3;5000;13;0.000375;0.000375;0.000375
55;11;10;3;5000;13;0.000375;0.000375;0.000375
56;18;5;3;500;22;0.000375;0.000375;0.000375
57;7;4;4;1000;16;0.0005;0.0005;0.0005
58;14;6;3;5000;13;0.000375;0.000375;0.000375
59;18;1;3;500;22;0.000375;0.000375;0.000375
60;9;12;3;5000;13;0.000375;0.000375;0.000375
61;9;12;3;5000;13;0.000375;0.000375;0.000375
62;2;1;3;5000;13;0.000375;0.000375;0.000375
63;16;3;3;5000;13;0.000375;0.000375;0.000375
64;2;18;4;1000;16;0.0005;0.0005;0.0005
65;16;7;3;500;22;0.000375;0.000375;0.000375
66;8;16;3;5000;13;0.000375;0.000375;0.000375
67;10;5;4;1000;16;0.0005;0.0005;0.0005
68;14;3;3;5000;13;0.000375;0.000375;0.000375
69;11;18;3;5000;13;0.000375;0.000375;0.000375
70;11;13;3;5000;13;0.000375;0.000375;0.000375
71;12;7;3;5000;13;0.000375;0.000375;0.000375
72;7;10;4;1000;16;0.0005;0.0005;0.0005
73;6;2;3;5000;13;0.000375;0.000375;0.000375
74;16;2;3;500;22;0.000375;0.000375;0.000375
75;18;1;3;500;22;0.000375;0.000375;0.000375
76;17;10;3;5000;13;0.000375;0.000375;0.000375
77;14;3;3;5000;13;0.000375;0.000375;0.000375
78;14;6;3;5000;13;0.000375;0.000375;0.000375
79;17;9;4;1000;16;0.0005;0.0005;0.0005
80;11;18;3;5000;13;0.000375;0.000375;0.000375
