index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS
1;18;17;4;1000;16;0.0005;0.0005;0.0005
2;7;6;3;5000;13;0.000375;0.000375;0.000375
3;5;3;3;500;22;0.000375;0.000375;0.000375
4;8;18;3;5000;13;0.000375;0.000375;0.000375
5;16;8;3;5000;13;0.000375;0.000375;0.000375
6;12;15;3;5000;13;0.000375;0.000375;0.000375
7;5;17;4;1000;16;0.0005;0.0005;0.0005
8;11;1;3;5000;13;0.000375;0.000375;0.000375
9;17;13;3;5000;13;0.000375;0.000375;0.000375
10;3;16;3;5000;13;0.000375;0.000375;0.000375
11;9;2;3;500;22;0.000375;0.000375;0.000375
12;15;4;4;1000;16;0.0005;0.0005;0.0005
13;18;17;4;1000;16;0.0005;0.0005;0.0005
14;4;15;4;1000;16;0.0005;0.0005;0.0005
15;7;11;3;5000;13;0.000375;0.000375;0.000375
16;4;15;4;1000;16;0.0005;0.0005;0.0005
17;18;10;4;1000;16;0.0005;0.0005;0.0005
18;2;8;4;1000;16;0.0005;0.0005;0.0005
19;5;18;3;500;22;0.000375;0.000375;0.000375
20;15;13;3;5000;13;0.000375;0.000375;0.000375
21;11;18;3;5000;13;0.000375;0.000375;0.000375
22;4;14;3;5000;13;0.000375;0.000375;0.000375
23;17;14;3;5000;13;0.000375;0.000375;0.000375
24;10;12;3;5000;13;0.000375;0.000375;0.000375
25;6;9;3;5000;13;0.000375;0.000375;0.000375
26;1;15;4;1000;16;0.0005;0.0005;0.0005
27;8;10;4;1000;16;0.0005;0.0005;0.0005
28;12;1;3;5000;13;0.000375;0.000375;0.000375
29;5;1;4;1000;16;0.0005;0.0005;0.0005
30;2;9;3;500;22;0.000375;0.000375;0.000375
31;16;5;4;1000;16;0.0005;0.0005;0.0005
32;16;12;3;5000;13;0.000375;0.000375;0.000375
33;9;17;4;1000;16;0.0005;0.0005;0.0005
34;2;1;3;5000;13;0.000375;0.000375;0.000375
35;18;3;4;1000;16;0.0005;0.0005;0.0005
36;13;3;3;5000;13;0.000375;0.000375;0.000375
37;5;3;3;500;22;0.000375;0.000375;0.000375
38;5;4;4;1000;16;0.0005;0.0005;0.0005
39;16;3;3;5000;13;0.000375;0.000375;0.000375
40;16;18;3;5000;13;0.000375;0.000375;0.000375
41;17;9;4;1000;16;0.0005;0.0005;0.0005
42;11;2;3;5000;13;0.000375;0.000375;0.000375
43;9;4;3;500;22;0.000375;0.000375;0.000375
44;15;11;3;5000;13;0.000375;0.000375;0.000375
45;17;16;3;5000;13;0.000375;0.000375;0.000375
46;9;14;3;5000;13;0.000375;0.000375;0.000375
47;14;6;3;5000;13;0.000375;0.000375;0.000375
48;3;5;3;500;22;0.000375;0.000375;0.000375
49;16;18;3;5000;13;0.000375;0.000375;0.000375
50;6;16;3;5000;13;0.000375;0.000375;0.000375
51;14;7;3;5000;13;0.000375;0.000375;0.000375
52;8;6;3;5000;13;0.000375;0.000375;0.000375
53;18;5;3;500;22;0.000375;0.000375;0.000375
54;5;17;4;1000;16;0.0005;0.0005;0.0005
55;18;10;4;1000;16;0.0005;0.0005;0.0005
56;14;12;3;5000;13;0.000375;0.000375;0.000375
57;15;6;3;5000;13;0.000375;0.000375;0.000375
58;18;5;3;500;22;0.000375;0.000375;0.000375
59;13;3;3;5000;13;0.000375;0.000375;0.000375
60;9;2;3;500;22;0.000375;0.000375;0.000375
61;14;15;3;5000;13;0.000375;0.000375;0.000375
62;14;2;3;5000;13;0.000375;0.000375;0.000375
63;13;2;3;5000;13;0.000375;0.000375;0.000375
64;12;10;3;5000;13;0.000375;0.000375;0.000375
65;7;10;4;1000;16;0.0005;0.0005;0.0005
66;9;3;4;1000;16;0.0005;0.0005;0.0005
67;18;15;4;1000;16;0.0005;0.0005;0.0005
68;8;6;3;5000;13;0.000375;0.000375;0.000375
69;17;14;3;5000;13;0.000375;0.000375;0.000375
70;2;12;3;5000;13;0.000375;0.000375;0.000375
71;12;6;3;5000;13;0.000375;0.000375;0.000375
72;4;5;4;1000;16;0.0005;0.0005;0.0005
73;12;11;3;5000;13;0.000375;0.000375;0.000375
74;2;6;3;5000;13;0.000375;0.000375;0.000375
75;2;10;3;500;22;0.000375;0.000375;0.000375
76;4;10;3;500;22;0.000375;0.000375;0.000375
77;15;11;3;5000;13;0.000375;0.000375;0.000375
78;18;17;4;1000;16;0.0005;0.0005;0.0005
79;12;1;3;5000;13;0.000375;0.000375;0.000375
80;3;11;3;500;22;0.000375;0.000375;0.000375
