index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS
1;2;4;3;500;22;0.000375;0.000375;0.000375
2;2;11;4;1000;16;0.0005;0.0005;0.0005
3;2;17;4;1000;16;0.0005;0.0005;0.0005
4;4;11;4;1000;16;0.0005;0.0005;0.0005
5;4;17;4;1000;16;0.0005;0.0005;0.0005
6;11;17;3;500;22;0.000375;0.000375;0.000375
7;1;11;4;1000;16;0.0005;0.0005;0.0005
8;1;17;4;1000;16;0.0005;0.0005;0.0005
9;1;4;4;1000;16;0.0005;0.0005;0.0005
10;3;17;4;1000;16;0.0005;0.0005;0.0005
11;3;11;4;1000;16;0.0005;0.0005;0.0005
12;2;3;3;500;22;0.000375;0.000375;0.000375
13;5;11;3;500;22;0.000375;0.000375;0.000375
14;2;5;3;500;22;0.000375;0.000375;0.000375
15;5;17;4;1000;16;0.0005;0.0005;0.0005
16;6;17;4;1000;16;0.0005;0.0005;0.0005
17;4;6;4;1000;16;0.0005;0.0005;0.0005
18;2;6;4;1000;16;0.0005;0.0005;0.0005
19;7;11;3;500;22;0.000375;0.000375;0.000375
20;4;7;4;1000;16;0.0005;0.0005;0.0005
21;7;17;4;1000;16;0.0005;0.0005;0.0005
22;8;17;4;1000;16;0.0005;0.0005;0.0005
23;8;11;3;500;22;0.000375;0.000375;0.000375
24;2;8;4;1000;16;0.0005;0.0005;0.0005
25;9;11;3;500;22;0.000375;0.000375;0.000375
26;2;9;3;500;22;0.000375;0.000375;0.000375
27;9;17;4;1000;16;0.0005;0.0005;0.0005
28;10;17;3;500;22;0.000375;0.000375;0.000375
29;2;10;4;1000;16;0.0005;0.0005;0.0005
30;10;11;3;500;22;0.000375;0.000375;0.000375
31;12;17;4;1000;16;0.0005;0.0005;0.0005
32;2;12;4;1000;16;0.0005;0.0005;0.0005
33;4;12;4;1000;16;0.0005;0.0005;0.0005
34;13;17;3;500;22;0.000375;0.000375;0.000375
35;11;13;3;500;22;0.000375;0.000375;0.000375
36;2;13;4;1000;16;0.0005;0.0005;0.0005
37;11;14;3;500;22;0.000375;0.000375;0.000375
38;14;17;4;1000;16;0.0005;0.0005;0.0005
39;4;14;4;1000;16;0.0005;0.0005;0.0005
40;11;15;4;1000;16;0.0005;0.0005;0.0005
41;2;15;4;1000;16;0.0005;0.0005;0.0005
42;4;15;4;1000;16;0.0005;0.0005;0.0005
43;2;16;4;1000;16;0.0005;0.0005;0.0005
44;16;17;3;500;22;0.000375;0.000375;0.000375
45;11;16;4;1000;16;0.0005;0.0005;0.0005
