index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS
1;6;10;3;5000;13;0.000375;0.000375;0.000375
2;4;7;3;5000;13;0.000375;0.000375;0.000375
3;6;3;3;5000;13;0.000375;0.000375;0.000375
4;6;9;3;5000;13;0.000375;0.000375;0.000375
5;5;8;3;5000;13;0.000375;0.000375;0.000375
6;6;2;3;5000;13;0.000375;0.000375;0.000375
7;10;14;3;5000;13;0.000375;0.000375;0.000375
8;10;4;3;5000;13;0.000375;0.000375;0.000375
9;14;6;3;5000;13;0.000375;0.000375;0.000375
10;3;2;4;1000;16;0.0005;0.0005;0.0005
11;9;6;3;5000;13;0.000375;0.000375;0.000375
12;9;7;3;5000;13;0.000375;0.000375;0.000375
13;3;4;3;5000;13;0.000375;0.000375;0.000375
14;11;10;3;5000;13;0.000375;0.000375;0.000375
15;2;12;3;5000;13;0.000375;0.000375;0.000375
16;14;5;3;5000;13;0.000375;0.000375;0.000375
17;8;5;3;5000;13;0.000375;0.000375;0.000375
18;10;9;4;1000;16;0.0005;0.0005;0.0005
19;2;9;3;5000;13;0.000375;0.000375;0.000375
20;8;9;4;1000;16;0.0005;0.0005;0.0005
21;7;5;4;1000;16;0.0005;0.0005;0.0005
22;13;11;3;5000;13;0.000375;0.000375;0.000375
23;3;2;4;1000;16;0.0005;0.0005;0.0005
24;11;10;3;5000;13;0.000375;0.000375;0.000375
25;4;5;4;1000;16;0.0005;0.0005;0.0005
26;9;3;3;5000;13;0.000375;0.000375;0.000375
27;10;1;3;5000;13;0.000375;0.000375;0.000375
28;4;3;3;5000;13;0.000375;0.000375;0.000375
29;3;11;3;5000;13;0.000375;0.000375;0.000375
30;11;9;3;5000;13;0.000375;0.000375;0.000375
31;9;11;3;5000;13;0.000375;0.000375;0.000375
32;14;11;4;1000;16;0.0005;0.0005;0.0005
33;9;5;3;5000;13;0.000375;0.000375;0.000375
34;8;10;3;5000;13;0.000375;0.000375;0.000375
35;12;8;3;5000;13;0.000375;0.000375;0.000375
36;7;5;4;1000;16;0.0005;0.0005;0.0005
37;4;8;3;5000;13;0.000375;0.000375;0.000375
38;7;2;3;5000;13;0.000375;0.000375;0.000375
39;12;6;3;5000;13;0.000375;0.000375;0.000375
40;14;13;3;500;22;0.000375;0.000375;0.000375
41;3;2;4;1000;16;0.0005;0.0005;0.0005
42;5;2;3;5000;13;0.000375;0.000375;0.000375
43;9;3;3;5000;13;0.000375;0.000375;0.000375
44;5;4;4;1000;16;0.0005;0.0005;0.0005
45;10;4;3;5000;13;0.000375;0.000375;0.000375
46;9;12;3;500;22;0.000375;0.000375;0.000375
47;14;3;3;5000;13;0.000375;0.000375;0.000375
48;9;3;3;5000;13;0.000375;0.000375;0.000375
49;13;12;3;500;22;0.000375;0.000375;0.000375
50;5;14;3;5000;13;0.000375;0.000375;0.000375
51;6;2;3;5000;13;0.000375;0.000375;0.000375
52;10;1;3;5000;13;0.000375;0.000375;0.000375
53;9;14;3;500;22;0.000375;0.000375;0.000375
54;9;8;4;1000;16;0.0005;0.0005;0.0005
55;2;11;3;5000;13;0.000375;0.000375;0.000375
56;11;10;3;5000;13;0.000375;0.000375;0.000375
57;10;11;3;5000;13;0.000375;0.000375;0.000375
58;14;5;3;5000;13;0.000375;0.000375;0.000375
59;4;8;3;5000;13;0.000375;0.000375;0.000375
60;12;7;3;5000;13;0.000375;0.000375;0.000375
61;9;2;3;5000;13;0.000375;0.000375;0.000375
62;4;5;4;1000;16;0.0005;0.0005;0.0005
63;7;5;4;1000;16;0.0005;0.0005;0.0005
64;6;10;3;5000;13;0.000375;0.000375;0.000375
65;5;9;3;5000;13;0.000375;0.000375;0.000375
66;12;11;4;1000;16;0.0005;0.0005;0.0005
67;13;12;3;500;22;0.000375;0.000375;0.000375
68;5;11;3;5000;13;0.000375;0.000375;0.000375
69;6;13;3;5000;13;0.000375;0.000375;0.000375
70;14;12;4;1000;16;0.0005;0.0005;0.0005
71;6;8;3;5000;13;0.000375;0.000375;0.000375
72;3;2;4;1000;16;0.0005;0.0005;0.0005
73;13;1;3;5000;13;0.000375;0.000375;0.000375
74;11;2;3;5000;13;0.000375;0.000375;0.000375
75;12;9;3;500;22;0.000375;0.000375;0.000375
76;13;6;3;5000;13;0.000375;0.000375;0.000375
77;10;9;4;1000;16;0.0005;0.0005;0.0005
78;11;4;3;5000;13;0.000375;0.000375;0.000375
79;12;5;3;5000;13;0.000375;0.000375;0.000375
80;1;2;3;5000;13;0.000375;0.000375;0.000375
81;3;5;3;5000;13;0.000375;0.000375;0.000375
82;9;13;4;1000;16;0.0005;0.0005;0.0005
83;2;14;3;5000;13;0.000375;0.000375;0.000375
84;4;7;3;5000;13;0.000375;0.000375;0.000375
85;12;2;3;5000;13;0.000375;0.000375;0.000375
86;1;4;3;5000;13;0.000375;0.000375;0.000375
87;8;6;3;5000;13;0.000375;0.000375;0.000375
88;8;13;3;5000;13;0.000375;0.000375;0.000375
89;7;14;3;5000;13;0.000375;0.000375;0.000375
90;1;8;3;5000;13;0.000375;0.000375;0.000375
91;4;11;3;5000;13;0.000375;0.000375;0.000375
92;3;6;3;5000;13;0.000375;0.000375;0.000375
93;1;2;3;5000;13;0.000375;0.000375;0.000375
94;5;14;3;5000;13;0.000375;0.000375;0.000375
95;8;13;3;5000;13;0.000375;0.000375;0.000375
96;1;4;3;5000;13;0.000375;0.000375;0.000375
97;5;7;4;1000;16;0.0005;0.0005;0.0005
98;8;5;3;5000;13;0.000375;0.000375;0.000375
99;7;1;3;5000;13;0.000375;0.000375;0.000375
100;6;11;3;5000;13;0.000375;0.000375;0.000375
101;2;4;4;1000;16;0.0005;0.0005;0.0005
102;5;11;3;5000;13;0.000375;0.000375;0.000375
103;11;13;3;5000;13;0.000375;0.000375;0.000375
104;11;8;3;5000;13;0.000375;0.000375;0.000375
105;8;9;4;1000;16;0.0005;0.0005;0.0005
106;4;6;3;5000;13;0.000375;0.000375;0.000375
107;3;9;3;5000;13;0.000375;0.000375;0.000375
108;4;2;4;1000;16;0.0005;0.0005;0.0005
109;6;11;3;5000;13;0.000375;0.000375;0.000375
110;5;11;3;5000;13;0.000375;0.000375;0.000375
111;9;5;3;5000;13;0.000375;0.000375;0.000375
112;4;8;3;5000;13;0.000375;0.000375;0.000375
113;10;9;4;1000;16;0.0005;0.0005;0.0005
114;11;7;3;5000;13;0.000375;0.000375;0.000375
115;14;2;3;5000;13;0.000375;0.000375;0.000375
116;8;14;3;5000;13;0.000375;0.000375;0.000375
117;8;5;3;5000;13;0.000375;0.000375;0.000375
118;8;14;3;5000;13;0.000375;0.000375;0.000375
119;8;12;3;5000;13;0.000375;0.000375;0.000375
120;11;5;3;5000;13;0.000375;0.000375;0.000375
