index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS
1;5;11;3;5000;13;0.000375;0.000375;0.000375
2;4;1;3;5000;13;0.000375;0.000375;0.000375
3;1;6;3;5000;13;0.000375;0.000375;0.000375
4;14;8;3;5000;13;0.000375;0.000375;0.000375
5;13;14;3;500;22;0.000375;0.000375;0.000375
6;12;10;3;5000;13;0.000375;0.000375;0.000375
7;4;10;3;5000;13;0.000375;0.000375;0.000375
8;8;6;3;5000;13;0.000375;0.000375;0.000375
9;11;8;3;5000;13;0.000375;0.000375;0.000375
10;9;13;4;1000;16;0.0005;0.0005;0.0005
11;9;14;3;500;22;0.000375;0.000375;0.000375
12;11;5;3;5000;13;0.000375;0.000375;0.000375
13;6;9;3;5000;13;0.000375;0.000375;0.000375
14;12;3;3;5000;13;0.000375;0.000375;0.000375
15;14;8;3;5000;13;0.000375;0.000375;0.000375
16;8;12;3;5000;13;0.000375;0.000375;0.000375
17;12;14;4;1000;16;0.0005;0.0005;0.0005
18;5;7;4;1000;16;0.0005;0.0005;0.0005
19;12;3;3;5000;13;0.000375;0.000375;0.000375
20;10;6;3;5000;13;0.000375;0.000375;0.000375
