index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS
1;9;10;4;1000;16;0.0005;0.0005;0.0005
2;4;1;3;5000;13;0.000375;0.000375;0.000375
3;1;2;3;5000;13;0.000375;0.000375;0.000375
4;5;12;3;5000;13;0.000375;0.000375;0.000375
5;10;9;4;1000;16;0.0005;0.0005;0.0005
6;4;7;3;5000;13;0.000375;0.000375;0.000375
7;5;14;3;5000;13;0.000375;0.000375;0.000375
8;10;4;3;5000;13;0.000375;0.000375;0.000375
9;12;7;3;5000;13;0.000375;0.000375;0.000375
10;4;5;4;1000;16;0.0005;0.0005;0.0005
11;5;9;3;5000;13;0.000375;0.000375;0.000375
12;13;1;3;5000;13;0.000375;0.000375;0.000375
13;9;5;3;5000;13;0.000375;0.000375;0.000375
14;7;8;4;1000;16;0.0005;0.0005;0.0005
15;5;12;3;5000;13;0.000375;0.000375;0.000375
16;14;13;3;500;22;0.000375;0.000375;0.000375
17;3;11;3;5000;13;0.000375;0.000375;0.000375
18;1;8;3;5000;13;0.000375;0.000375;0.000375
19;13;8;3;5000;13;0.000375;0.000375;0.000375
20;7;9;3;5000;13;0.000375;0.000375;0.000375
21;8;5;3;5000;13;0.000375;0.000375;0.000375
22;11;10;3;5000;13;0.000375;0.000375;0.000375
23;1;8;3;5000;13;0.000375;0.000375;0.000375
24;8;11;3;5000;13;0.000375;0.000375;0.000375
25;10;5;3;5000;13;0.000375;0.000375;0.000375
26;6;11;3;5000;13;0.000375;0.000375;0.000375
27;13;12;3;500;22;0.000375;0.000375;0.000375
28;4;8;3;5000;13;0.000375;0.000375;0.000375
29;8;13;3;5000;13;0.000375;0.000375;0.000375
30;1;12;3;5000;13;0.000375;0.000375;0.000375
31;8;14;3;5000;13;0.000375;0.000375;0.000375
32;12;2;3;5000;13;0.000375;0.000375;0.000375
33;8;14;3;5000;13;0.000375;0.000375;0.000375
34;13;8;3;5000;13;0.000375;0.000375;0.000375
35;13;1;3;5000;13;0.000375;0.000375;0.000375
36;6;8;3;5000;13;0.000375;0.000375;0.000375
37;14;2;3;5000;13;0.000375;0.000375;0.000375
38;10;13;3;5000;13;0.000375;0.000375;0.000375
39;6;7;3;5000;13;0.000375;0.000375;0.000375
40;1;4;3;5000;13;0.000375;0.000375;0.000375
41;9;14;3;500;22;0.000375;0.000375;0.000375
42;2;8;3;5000;13;0.000375;0.000375;0.000375
43;13;2;3;5000;13;0.000375;0.000375;0.000375
44;1;4;3;5000;13;0.000375;0.000375;0.000375
45;14;8;3;5000;13;0.000375;0.000375;0.000375
46;6;4;3;5000;13;0.000375;0.000375;0.000375
47;14;11;4;1000;16;0.0005;0.0005;0.0005
48;3;5;3;5000;13;0.000375;0.000375;0.000375
49;14;11;4;1000;16;0.0005;0.0005;0.0005
50;8;1;3;5000;13;0.000375;0.000375;0.000375
51;1;4;3;5000;13;0.000375;0.000375;0.000375
52;4;12;3;5000;13;0.000375;0.000375;0.000375
53;4;7;3;5000;13;0.000375;0.000375;0.000375
54;2;9;3;5000;13;0.000375;0.000375;0.000375
55;10;6;3;5000;13;0.000375;0.000375;0.000375
56;1;9;3;5000;13;0.000375;0.000375;0.000375
57;13;8;3;5000;13;0.000375;0.000375;0.000375
58;5;13;3;5000;13;0.000375;0.000375;0.000375
59;1;6;3;5000;13;0.000375;0.000375;0.000375
60;8;7;4;1000;16;0.0005;0.0005;0.0005
61;8;7;4;1000;16;0.0005;0.0005;0.0005
62;14;11;4;1000;16;0.0005;0.0005;0.0005
63;13;7;3;5000;13;0.000375;0.000375;0.000375
64;14;10;3;5000;13;0.000375;0.000375;0.000375
65;8;14;3;5000;13;0.000375;0.000375;0.000375
66;5;9;3;5000;13;0.000375;0.000375;0.000375
67;7;10;3;5000;13;0.000375;0.000375;0.000375
68;13;9;4;1000;16;0.0005;0.0005;0.0005
69;13;3;3;5000;13;0.000375;0.000375;0.000375
70;7;10;3;5000;13;0.000375;0.000375;0.000375
71;5;1;3;5000;13;0.000375;0.000375;0.000375
72;12;5;3;5000;13;0.000375;0.000375;0.000375
73;11;14;4;1000;16;0.0005;0.0005;0.0005
74;8;13;3;5000;13;0.000375;0.000375;0.000375
75;14;2;3;5000;13;0.000375;0.000375;0.000375
76;10;6;3;5000;13;0.000375;0.000375;0.000375
77;5;4;4;1000;16;0.0005;0.0005;0.0005
78;11;14;4;1000;16;0.0005;0.0005;0.0005
79;14;5;3;5000;13;0.000375;0.000375;0.000375
80;11;12;4;1000;16;0.0005;0.0005;0.0005
